N,B,mg,LPN,K_code,n_pre,n_orth,msq,seconds,hamiltonian
6,1,0.1,8,6,1,1,8.94578197571434,2.97,improved
6,1,0.1,8,8,1,1,10.115261611727055,0.02,improved
6,1,0.1,8,10,4,3,10.886508078959984,0.05,improved
6,1,0.1,8,12,9,6,11.417677924561538,0.09,improved
6,1,0.1,8,14,18,12,11.80085702937786,0.14,improved
6,1,0.1,8,16,32,21,12.087925325483251,0.22,improved
6,1,0.1,8,18,55,37,12.310436930326595,0.36,improved
6,1,0.1,8,20,88,59,12.487951355925631,0.63,improved
6,1,0.1,8,22,137,94,12.632125524067902,0.8,improved
6,1,0.1,8,24,207,143,12.751244632052348,0.98,improved
6,1,0.1,8,26,306,214,12.85115580067478,1.27,improved
6,1,0.1,8,28,440,310,12.936102468322053,1.65,improved
6,1,0.1,8,30,623,444,13.009084808833208,2.23,improved
6,1,0.1,8,32,863,619,13.072415825069225,3.06,improved
6,1,0.05,8,6,1,1,4.354469000894586,0.03,improved
6,1,0.05,8,8,1,1,4.920507693555086,0.02,improved
6,1,0.05,8,10,4,3,5.298009786046167,0.05,improved
6,1,0.05,8,12,9,6,5.5614222461252965,0.09,improved
6,1,0.05,8,14,18,12,5.753986136995976,0.14,improved
6,1,0.05,8,16,32,21,5.900148335601391,0.22,improved
6,1,0.05,8,18,55,37,6.014763006941694,0.36,improved
6,1,0.05,8,20,88,59,6.1071090048542365,0.64,improved
6,1,0.05,8,22,137,94,6.182799492971025,0.75,improved
6,1,0.05,8,24,207,143,6.2458907549854175,0.98,improved
6,1,0.05,8,26,306,214,6.299230532952354,1.24,improved
6,1,0.05,8,28,440,310,6.344901109865997,1.66,improved
6,1,0.05,8,30,623,444,6.384401543670746,2.21,improved
6,1,0.05,8,32,863,619,6.418891081153967,2.97,improved
6,1,0.025,8,6,1,1,2.1340547703968955,0.03,improved
6,1,0.025,8,8,1,1,2.4106855192926986,0.02,improved
6,1,0.025,8,10,4,3,2.5961896802291,0.05,improved
6,1,0.025,8,12,9,6,2.726438923430361,0.09,improved
6,1,0.025,8,14,18,12,2.8222728356922437,0.14,improved
6,1,0.025,8,16,32,21,2.8954853665276072,0.22,improved
6,1,0.025,8,18,55,37,2.9532281039105057,0.35,improved
6,1,0.025,8,20,88,59,2.9999847149635843,0.59,improved
6,1,0.025,8,22,137,94,3.0384886756829093,0.74,improved
6,1,0.025,8,24,207,143,3.0707284356529074,0.96,improved
6,1,0.025,8,26,306,214,3.0980964294083937,1.25,improved
6,1,0.025,8,28,440,310,3.121615337015095,1.65,improved
6,1,0.025,8,30,623,444,3.142027567943995,2.25,improved
6,1,0.025,8,32,863,619,3.1599081364254,3.25,improved
6,1,0.0125,8,6,1,1,1.0545948739164632,0.03,improved
6,1,0.0125,8,8,1,1,1.1911086775773385,0.02,improved
6,1,0.0125,8,10,4,3,1.282899846210808,0.05,improved
6,1,0.0125,8,12,9,6,1.3475456888660455,0.09,improved
6,1,0.0125,8,14,18,12,1.3952623508010573,0.14,improved
6,1,0.0125,8,16,32,21,1.431833196377978,0.22,improved
6,1,0.0125,8,18,55,37,1.460760208016526,0.35,improved
6,1,0.0125,8,20,88,59,1.4842427427342884,0.64,improved
6,1,0.0125,8,22,137,94,1.5036270043315054,0.75,improved
6,1,0.0125,8,24,207,143,1.519894987904911,0.97,improved
6,1,0.0125,8,26,306,214,1.5337335148301252,1.28,improved
6,1,0.0125,8,28,440,310,1.545648231597927,1.66,improved
6,1,0.0125,8,30,623,444,1.5560076515363768,2.26,improved
6,1,0.0125,8,32,863,619,1.5650974381151472,3.13,improved
