N,B,mg,LPN,K_code,n_pre,n_orth,msq,seconds,hamiltonian
7,1,0.1,9,7,1,1,1.4924923770821112,28.24,standard
7,1,0.1,9,9,1,1,1.7361646019118413,0.11,standard
7,1,0.1,9,11,4,3,1.9382211497211057,0.14,standard
7,1,0.1,9,13,9,6,2.109730369517949,0.15,standard
7,1,0.1,9,15,18,12,2.258257948148531,0.22,standard
7,1,0.1,9,17,32,21,2.389006614804436,0.31,standard
7,1,0.1,9,19,55,37,2.5056458261364143,0.49,standard
7,1,0.1,9,21,89,60,2.6108403144166474,0.74,standard
7,1,0.1,9,23,140,96,2.7065786389919615,1.17,standard
7,1,0.1,9,25,212,147,2.7943807044534936,1.78,standard
7,1,0.1,9,27,316,222,2.8754325162020407,2.89,standard
7,1,0.1,9,29,459,325,2.9506762714951105,4.52,standard
7,1,0.1,9,31,656,470,3.0208722515824507,7.27,standard
7,1,0.1,9,33,919,663,3.086642396564594,11.06,standard
7,1,0.05,9,7,1,1,0.3818460898125892,0.12,standard
7,1,0.05,9,9,1,1,0.4441883085574994,0.11,standard
7,1,0.05,9,11,4,3,0.4959230212712908,0.15,standard
7,1,0.05,9,13,9,6,0.539872698791665,0.16,standard
7,1,0.05,9,15,18,12,0.5779647563745771,0.22,standard
7,1,0.05,9,17,32,21,0.6115240798497628,0.34,standard
7,1,0.05,9,19,55,37,0.6414849927665707,0.5,standard
7,1,0.05,9,21,89,60,0.6685260199291414,0.77,standard
7,1,0.05,9,23,140,96,0.6931535762144114,1.24,standard
7,1,0.05,9,25,212,147,0.7157547979457806,2.0,standard
7,1,0.05,9,27,316,222,0.7366318395987139,3.37,standard
7,1,0.05,9,29,459,325,0.75602479908353,4.99,standard
7,1,0.05,9,31,656,470,0.7741274660626002,7.13,standard
7,1,0.05,9,33,919,663,0.7910984093049566,11.07,standard
7,1,0.025,9,7,1,1,0.09602273529738645,0.12,standard
7,1,0.025,9,9,1,1,0.11169991657042681,0.11,standard
7,1,0.025,9,11,4,3,0.12471213218871713,0.14,standard
7,1,0.025,9,13,9,6,0.13576856260650763,0.16,standard
7,1,0.025,9,15,18,12,0.1453533783622043,0.23,standard
7,1,0.025,9,17,32,21,0.1537993591456968,0.33,standard
7,1,0.025,9,19,55,37,0.16134117748163812,0.58,standard
7,1,0.025,9,21,89,60,0.168149258610886,0.95,standard
7,1,0.025,9,23,140,96,0.17435080263758296,1.49,standard
7,1,0.025,9,25,212,147,0.18004305375724936,2.22,standard
7,1,0.025,9,27,316,222,0.1853019136426726,3.42,standard
7,1,0.025,9,29,459,325,0.19018769872882502,5.23,standard
7,1,0.025,9,31,656,470,0.1947490950436821,7.08,standard
7,1,0.025,9,33,919,663,0.19902594252803663,11.16,standard
7,1,0.0125,9,7,1,1,0.02404101776730774,0.12,standard
7,1,0.0125,9,9,1,1,0.027966081892580163,0.11,standard
7,1,0.0125,9,11,4,3,0.031224080653783466,0.14,standard
7,1,0.0125,9,13,9,6,0.03399253346881051,0.16,standard
7,1,0.0125,9,15,18,12,0.03639262884973977,0.23,standard
7,1,0.0125,9,17,32,21,0.03850765984273352,0.35,standard
7,1,0.0125,9,19,55,37,0.04039636331764437,0.55,standard
7,1,0.0125,9,21,89,60,0.042101395578477106,1.01,standard
7,1,0.0125,9,23,140,96,0.04365459419509322,1.6,standard
7,1,0.0125,9,25,212,147,0.0450802991771925,2.12,standard
7,1,0.0125,9,27,316,222,0.04639750879100381,3.33,standard
7,1,0.0125,9,29,459,325,0.04762132051651738,5.04,standard
7,1,0.0125,9,31,656,470,0.04876392087317524,8.03,standard
7,1,0.0125,9,33,919,663,0.049835282286433635,11.07,standard
