N,B,mg,LPN,K_code,n_pre,n_orth,msq,seconds,hamiltonian
7,1,0.4,9,7,1,1,45.804065737967875,0.78,improved
7,1,0.4,9,9,1,1,51.381399455106255,0.14,improved
7,1,0.4,9,11,4,3,55.13502995763273,0.51,improved
7,1,0.4,9,13,9,6,57.6803071567734,0.92,improved
7,1,0.4,9,15,18,12,59.453750462119515,1.53,improved
7,1,0.4,9,17,32,21,60.729142020840484,2.47,improved
7,1,0.4,9,19,55,37,61.676048991269106,3.95,improved
7,1,0.4,9,21,89,60,62.403044122542,6.2,improved
7,1,0.4,9,23,140,96,62.97638732916819,9.46,improved
7,1,0.4,9,25,212,147,63.43630289562131,11.88,improved
7,1,0.4,9,27,316,222,63.81074320636235,15.61,improved
7,1,0.4,9,29,459,325,64.12065354679676,20.68,improved
7,1,0.4,9,31,656,470,64.38087409747239,27.4,improved
7,1,0.4,9,33,919,663,64.6019587372931,37.09,improved
7,1,0.8,9,7,1,1,58.95286026547666,0.34,improved
7,1,0.8,9,9,1,1,66.44368044644062,0.13,improved
7,1,0.8,9,11,4,3,71.27853907988083,0.49,improved
7,1,0.8,9,13,9,6,74.22640844561317,0.91,improved
7,1,0.8,9,15,18,12,75.96221051826856,1.5,improved
7,1,0.8,9,17,32,21,76.99843855434686,2.45,improved
7,1,0.8,9,19,55,37,77.65466160877764,3.83,improved
7,1,0.8,9,21,89,60,78.10366865413944,6.1,improved
7,1,0.8,9,23,140,96,78.43437058771718,9.48,improved
7,1,0.8,9,25,212,147,78.6874833658165,11.84,improved
7,1,0.8,9,27,316,222,78.88417082253405,15.44,improved
7,1,0.8,9,29,459,325,79.04036092389734,20.7,improved
7,1,0.8,9,31,656,470,79.16752578256893,27.47,improved
7,1,0.8,9,33,919,663,79.2731408885419,37.21,improved
7,1,1.6,9,7,1,1,57.25054603918902,0.34,improved
7,1,1.6,9,9,1,1,65.14781573947917,0.13,improved
7,1,1.6,9,11,4,3,70.16642014489051,0.48,improved
7,1,1.6,9,13,9,6,72.81211115958969,0.89,improved
7,1,1.6,9,15,18,12,73.61583830469331,1.48,improved
7,1,1.6,9,17,32,21,73.14702224578893,2.41,improved
7,1,1.6,9,19,55,37,72.0393572794421,3.83,improved
7,1,1.6,9,21,89,60,71.04077911069862,6.08,improved
7,1,1.6,9,23,140,96,70.96441143471075,9.35,improved
7,1,1.6,9,25,212,147,71.03419089241262,11.79,improved
7,1,1.6,9,27,316,222,71.12832853488916,15.63,improved
7,1,1.6,9,29,459,325,71.2185256656128,20.91,improved
7,1,1.6,9,31,656,470,71.2993782134486,27.33,improved
7,1,1.6,9,33,919,663,71.37119274987685,37.25,improved
