# M^2 of the ground state on an (m/g, K) grid, for all five Table I channels.
#
# Written for the weak-coupling analysis in docs/weak-coupling-limit.md, which
# needs a finer m/g grid than Table I's and a longer reach in m/g than the
# (m/g)^2 limit form survives.  Two things it supports that Table I's own
# couplings cannot:
#
#   * the chiral end (m/g = 0.025-0.2), where the joint (m/g, K) fit is scored
#     and where it puts the per-coupling Eq. (27) values 1-2 sigma high;
#   * the heavy end (m/g up to 24, mes N=2 and bar N=3 only), which is what
#     confirms the free-quark limit R = M^2/(m^2+g^2/pi) -> n_q^2 that the
#     rational limit form imposes.  Measured R/n_q^2 at 2K=68: 1.0060 (mes N=2)
#     and 1.0096 (bar N=3) at m/g = 24.
#
# Units: M^2 in m^2 + g^2/pi, the same convention as refs/table1.csv.
# LPN is the Table I truncation, figures.sweep_lpn(N, B).
# Grid: 2K = 25..69 at the parity each channel requires, so K_code steps by 2.
#
# Superset of data/joint_fit_msq.csv, which is kept because tools/joint_fit.py
# takes it by name.  The 120 overlapping bar N=3 cells agree to 1.6e-14
# relative -- 74 of them bit-identically, the rest differing in the last digit
# or two, since a sparse Lanczos solve is not bit-reproducible across runs.
# That is ten orders of magnitude below the 1e-4 reproducibility floor of the
# original algorithm (docs/basis-dependence.md).
#
# Regenerate a superset (this is a reduction of large_k_sweep's nine columns):
#   python tools/large_k_sweep.py --N <N> --B <B> --K-lo 25 --K-hi 69 \
#       --mg 0.025 0.05 0.075 0.1 0.15 0.2 0.3 0.4 0.6 0.8 1.2 1.6 \
#       --lpn <sweep_lpn(N,B)> --nev 12
# --nev 12 is verified to give the identical ground state to a full solve
# (0.3012878408 at mes N=2, 2K=68, m/g=0.1).
#
# Channels: mes N=2, mes N=3, bar N=3, mes N=4, bar N=4
# Couplings: 0.025, 0.05, 0.075, 0.1, 0.15, 0.2, 0.3, 0.4, 0.6, 0.8, 1.2, 1.6, 3.0, 6.0, 12.0, 24.0
# 1446 rows.
quantity,N,B,mg,LPN,K_code,msq
mes,2,0,24.0,4,26,4.013234429160229
mes,2,0,24.0,4,28,4.029601497502737
mes,2,0,24.0,4,30,4.015469989974824
mes,2,0,24.0,4,32,4.026458685417764
mes,2,0,24.0,4,34,4.017466354098038
mes,2,0,24.0,4,36,4.024746762096524
mes,2,0,24.0,4,38,4.019172660758893
mes,2,0,24.0,4,40,4.023868751457846
mes,2,0,24.0,4,42,4.020558504717372
mes,2,0,24.0,4,44,4.023482891322439
mes,2,0,24.0,4,46,4.02162737340428
mes,2,0,24.0,4,48,4.023383207133742
mes,2,0,24.0,4,50,4.022418117151359
mes,2,0,24.0,4,52,4.023442376066912
mes,2,0,24.0,4,54,4.0229910411520855
mes,2,0,24.0,4,56,4.023581858416947
mes,2,0,24.0,4,58,4.023408354751288
mes,2,0,24.0,4,60,4.02375463055685
mes,2,0,24.0,4,62,4.023720969334301
mes,2,0,24.0,4,64,4.023934136251597
mes,2,0,24.0,4,66,4.023964831387787
mes,2,0,24.0,4,68,4.024106729857705
mes,2,0,12.0,4,26,4.045584034393521
mes,2,0,12.0,4,28,4.053489653647297
mes,2,0,12.0,4,30,4.0497591168143146
mes,2,0,12.0,4,32,4.053376952548001
mes,2,0,12.0,4,34,4.05231753502266
mes,2,0,12.0,4,36,4.0539329023173405
mes,2,0,12.0,4,38,4.053869974292745
mes,2,0,12.0,4,40,4.054654945631477
mes,2,0,12.0,4,42,4.054887183788399
mes,2,0,12.0,4,44,4.055345329816781
mes,2,0,12.0,4,46,4.055625796147945
mes,2,0,12.0,4,48,4.0559472476663005
mes,2,0,12.0,4,50,4.0562057213276725
mes,2,0,12.0,4,52,4.056458572843702
mes,2,0,12.0,4,54,4.056682611308695
mes,2,0,12.0,4,56,4.056892726089147
mes,2,0,12.0,4,58,4.057085194031379
mes,2,0,12.0,4,60,4.057264416563306
mes,2,0,12.0,4,62,4.0574307114818815
mes,2,0,12.0,4,64,4.05758589124254
mes,2,0,12.0,4,66,4.057730850844206
mes,2,0,12.0,4,68,4.057866659042434
mes,2,0,6.0,4,26,4.115592175710788
mes,2,0,6.0,4,28,4.117339032988417
mes,2,0,6.0,4,30,4.11853015879623
mes,2,0,6.0,4,32,4.119651390572502
mes,2,0,6.0,4,34,4.120595298531268
mes,2,0,6.0,4,36,4.121433084693884
