N,B,mg,LPN,K_code,n_pre,n_orth,msq,seconds,hamiltonian
6,0,0.1,4,26,195,195,1.1531044130377215,0.74,improved
6,0,0.1,4,28,245,245,1.1535646434156899,0.47,improved
6,0,0.1,4,30,295,295,1.1539204865454926,0.54,improved
6,0,0.1,4,32,360,360,1.1541946405166472,0.69,improved
6,0,0.1,4,34,425,425,1.154404457170884,0.73,improved
6,0,0.1,4,36,507,507,1.1545627010132922,0.88,improved
6,0,0.1,4,38,589,589,1.154679558189134,1.0,improved
6,0,0.1,4,40,690,690,1.1547626229048666,1.19,improved
6,0,0.1,4,42,791,791,1.1548181990135977,1.33,improved
6,0,0.1,4,44,913,913,1.1548510069919362,1.54,improved
6,0,0.1,4,46,1035,1035,1.1548651177396536,1.7,improved
6,0,0.1,4,48,1180,1180,1.1548635687036504,2.05,improved
6,0,0.1,4,50,1325,1325,1.154849082585954,2.2,improved
6,0,0.1,4,52,1495,1495,1.1548236683048225,2.51,improved
6,0,0.1,4,54,1665,1665,1.1547892011667367,2.78,improved
6,0,0.1,4,56,1862,1862,1.154747039072327,3.06,improved
6,0,0.1,4,58,2059,2059,1.15469850633043,3.42,improved
6,0,0.1,4,60,2285,2285,1.1546445364740485,3.86,improved
6,0,0.1,4,62,2511,2511,1.1545860850566143,4.04,improved
6,0,0.1,4,64,2768,2768,1.1545238020487758,4.42,improved
6,0,0.1,4,66,3025,3025,1.1544583899448961,4.77,improved
6,0,0.1,4,68,3315,3315,1.154390305225972,5.15,improved
6,0,0.1,4,70,3605,3605,1.1543200729103607,5.61,improved
6,0,0.05,4,26,195,195,0.5625413078757044,0.35,improved
6,0,0.05,4,28,245,245,0.5628934055567831,0.44,improved
6,0,0.05,4,30,295,295,0.5631819294167549,0.52,improved
6,0,0.05,4,32,360,360,0.5634197962023274,0.63,improved
6,0,0.05,4,34,425,425,0.5636168427519891,0.73,improved
6,0,0.05,4,36,507,507,0.5637805804469607,0.85,improved
6,0,0.05,4,38,589,589,0.5639169230739715,0.95,improved
6,0,0.05,4,40,690,690,0.5640304944031478,1.14,improved
6,0,0.05,4,42,791,791,0.5641250361063362,1.3,improved
6,0,0.05,4,44,913,913,0.5642035253364972,1.49,improved
6,0,0.05,4,46,1035,1035,0.5642684287142684,1.71,improved
6,0,0.05,4,48,1180,1180,0.5643217341658084,1.89,improved
6,0,0.05,4,50,1325,1325,0.5643651235534283,2.12,improved
6,0,0.05,4,52,1495,1495,0.5643999646154823,2.42,improved
6,0,0.05,4,54,1665,1665,0.56442743690743,2.64,improved
6,0,0.05,4,56,1862,1862,0.5644485052971102,3.02,improved
6,0,0.05,4,58,2059,2059,0.5644640170712014,3.18,improved
6,0,0.05,4,60,2285,2285,0.564474667421906,3.68,improved
6,0,0.05,4,62,2511,2511,0.5644810775718391,3.96,improved
6,0,0.05,4,64,2768,2768,0.5644837575038495,4.38,improved
6,0,0.05,4,66,3025,3025,0.5644831708709792,4.85,improved
6,0,0.05,4,68,3315,3315,0.5644796975837316,5.3,improved
6,0,0.05,4,70,3605,3605,0.5644736891267141,5.79,improved
6,0,0.025,4,26,195,195,0.2762173014406125,0.35,improved
6,0,0.025,4,28,245,245,0.27644156115728824,0.43,improved
6,0,0.025,4,30,295,295,0.2766307305086711,0.51,improved
6,0,0.025,4,32,360,360,0.276791608017122,0.62,improved
6,0,0.025,4,34,425,425,0.27692939114840415,0.72,improved
6,0,0.025,4,36,507,507,0.277048104845152,0.88,improved
6,0,0.025,4,38,589,589,0.2771509233724768,0.96,improved
6,0,0.025,4,40,690,690,0.2772403699469852,1.12,improved
6,0,0.025,4,42,791,791,0.2773184844716869,1.26,improved
6,0,0.025,4,44,913,913,0.27738692211545046,1.44,improved
6,0,0.025,4,46,1035,1035,0.27744704852941404,1.67,improved
6,0,0.025,4,48,1180,1180,0.2774999902067708,1.88,improved
6,0,0.025,4,50,1325,1325,0.2775466926213269,2.07,improved
6,0,0.025,4,52,1495,1495,0.27758794617401245,2.41,improved
6,0,0.025,4,54,1665,1665,0.27762442406150123,2.56,improved
6,0,0.025,4,56,1862,1862,0.27765669526176023,2.92,improved
6,0,0.025,4,58,2059,2059,0.2776852506651376,3.27,improved
6,0,0.025,4,60,2285,2285,0.27771050887753934,3.64,improved
6,0,0.025,4,62,2511,2511,0.27773283522229775,3.88,improved
6,0,0.025,4,64,2768,2768,0.2777525435400982,4.37,improved
6,0,0.025,4,66,3025,3025,0.2777699105752018,4.8,improved
6,0,0.025,4,68,3315,3315,0.277785175493409,5.12,improved
6,0,0.025,4,70,3605,3605,0.2777985512106315,5.76,improved
6,0,0.0125,4,26,195,195,0.13667029372625322,0.36,improved
6,0,0.0125,4,28,245,245,0.136798338409246,0.45,improved
6,0,0.0125,4,30,295,295,0.13690799222619168,0.52,improved
6,0,0.0125,4,32,360,360,0.1370027213578379,0.63,improved
6,0,0.0125,4,34,425,425,0.13708518389775967,0.71,improved
6,0,0.0125,4,36,507,507,0.1371574498015026,0.85,improved
6,0,0.0125,4,38,589,589,0.13722115590930403,0.97,improved
6,0,0.0125,4,40,690,690,0.13727761154169443,1.12,improved
6,0,0.0125,4,42,791,791,0.1373278774758776,1.32,improved
6,0,0.0125,4,44,913,913,0.1373728205413127,1.46,improved
6,0,0.0125,4,46,1035,1035,0.1374131570215781,1.65,improved
6,0,0.0125,4,48,1180,1180,0.1374494824875549,1.85,improved
6,0,0.0125,4,50,1325,1325,0.13748229718634572,2.1,improved
6,0,0.0125,4,52,1495,1495,0.13751202311098937,2.33,improved
6,0,0.0125,4,54,1665,1665,0.13753901961624188,2.59,improved
6,0,0.0125,4,56,1862,1862,0.1375635935495234,2.96,improved
6,0,0.0125,4,58,2059,2059,0.1375860093144245,3.19,improved
6,0,0.0125,4,60,2285,2285,0.13760649500098285,3.66,improved
6,0,0.0125,4,62,2511,2511,0.13762524921089037,3.94,improved
6,0,0.0125,4,64,2768,2768,0.13764244475896278,4.32,improved
6,0,0.0125,4,66,3025,3025,0.13765823348815764,4.75,improved
6,0,0.0125,4,68,3315,3315,0.13767274856269585,5.28,improved
6,0,0.0125,4,70,3605,3605,0.1376861078905051,5.77,improved
