N,B,mg,LPN,K_code,n_pre,n_orth,msq,seconds,hamiltonian
2,0,0.4,4,26,195,195,2.635360672041689,1.03,improved
2,0,0.4,4,28,245,245,2.6344982280442264,0.87,improved
2,0,0.4,4,30,295,295,2.6337959171693757,1.03,improved
2,0,0.4,4,32,360,360,2.63312070461133,1.29,improved
2,0,0.4,4,34,425,425,2.632559708518967,1.41,improved
2,0,0.4,4,36,507,507,2.632018361269942,1.63,improved
2,0,0.4,4,38,589,589,2.631560756444728,1.82,improved
2,0,0.4,4,40,690,690,2.631117839205272,2.01,improved
2,0,0.4,4,42,791,791,2.63073788493311,2.27,improved
2,0,0.4,4,44,913,913,2.6303691956665647,3.0,improved
2,0,0.4,4,46,1035,1035,2.630048909280253,3.27,improved
2,0,0.4,4,48,1180,1180,2.6297374532794233,3.18,improved
2,0,0.4,4,50,1325,1325,2.6294639377056495,4.48,improved
2,0,0.4,4,52,1495,1495,2.62919747417977,4.72,improved
2,0,0.4,4,54,1665,1665,2.62896126077301,4.48,improved
2,0,0.4,4,56,1862,1862,2.6287307703601956,5.7,improved
2,0,0.4,4,58,2059,2059,2.6285247620655516,6.72,improved
2,0,0.4,4,60,2285,2285,2.628323463492088,6.78,improved
2,0,0.4,4,62,2511,2511,2.6281422423621255,8.09,improved
2,0,0.4,4,64,2768,2768,2.627964944839596,7.48,improved
2,0,0.4,4,66,3025,3025,2.6278043068198857,8.45,improved
2,0,0.4,4,68,3315,3315,2.627646973072578,8.85,improved
2,0,0.4,4,70,3605,3605,2.6275036082607435,11.61,improved
2,0,0.8,4,26,195,195,3.902553321322123,0.65,improved
2,0,0.8,4,28,245,245,3.9030911369287082,0.79,improved
2,0,0.8,4,30,295,295,3.9035912936471093,0.93,improved
2,0,0.8,4,32,360,360,3.904029021948615,1.13,improved
2,0,0.8,4,34,425,425,3.904438511656895,1.29,improved
2,0,0.8,4,36,507,507,3.904801930829334,1.48,improved
2,0,0.8,4,38,589,589,3.905143562841622,1.72,improved
2,0,0.8,4,40,690,690,3.9054502140924914,1.96,improved
2,0,0.8,4,42,791,791,3.9057396825275625,2.19,improved
2,0,0.8,4,44,913,913,3.9060019581839196,2.76,improved
2,0,0.8,4,46,1035,1035,3.9062504363762955,3.19,improved
2,0,0.8,4,48,1180,1180,3.906477353240053,3.66,improved
2,0,0.8,4,50,1325,1325,3.9066930209434263,4.04,improved
2,0,0.8,4,52,1495,1495,3.9068913012140865,3.92,improved
2,0,0.8,4,54,1665,1665,3.9070802884278155,4.74,improved
2,0,0.8,4,56,1862,1862,3.907255047992698,4.99,improved
2,0,0.8,4,58,2059,2059,3.9074220414077097,5.82,improved
2,0,0.8,4,60,2285,2285,3.907577243561508,8.44,improved
2,0,0.8,4,62,2511,2511,3.907725889024284,7.09,improved
2,0,0.8,4,64,2768,2768,3.907864652277087,7.52,improved
2,0,0.8,4,66,3025,3025,3.9079978293282953,8.37,improved
2,0,0.8,4,68,3315,3315,3.908122641410389,8.81,improved
2,0,0.8,4,70,3605,3605,3.908242655082736,9.92,improved
2,0,1.6,4,26,195,195,4.291365179481582,0.65,improved
2,0,1.6,4,28,245,245,4.293023562285981,0.79,improved
2,0,1.6,4,30,295,295,4.2944544370984055,0.94,improved
2,0,1.6,4,32,360,360,4.295700103529089,1.14,improved
2,0,1.6,4,34,425,425,4.296796064401562,1.32,improved
2,0,1.6,4,36,507,507,4.297766597314517,1.49,improved
2,0,1.6,4,38,589,589,4.298633289158948,1.73,improved
2,0,1.6,4,40,690,690,4.299411045393447,1.98,improved
2,0,1.6,4,42,791,791,4.300113785543225,2.33,improved
2,0,1.6,4,44,913,913,4.300751150534959,2.74,improved
2,0,1.6,4,46,1035,1035,4.301332540145109,3.02,improved
2,0,1.6,4,48,1180,1180,4.30186445495185,3.71,improved
2,0,1.6,4,50,1325,1325,4.302353484053702,3.87,improved
2,0,1.6,4,52,1495,1495,4.302804162147607,4.88,improved
2,0,1.6,4,54,1665,1665,4.303221252773279,4.7,improved
2,0,1.6,4,56,1862,1862,4.303608010157486,5.35,improved
2,0,1.6,4,58,2059,2059,4.303967968524251,6.45,improved
2,0,1.6,4,60,2285,2285,4.30430351988767,7.71,improved
2,0,1.6,4,62,2511,2511,4.304617345032539,7.03,improved
2,0,1.6,4,64,2768,2768,4.304911238750984,7.72,improved
2,0,1.6,4,66,3025,3025,4.305187273667553,8.16,improved
2,0,1.6,4,68,3315,3315,4.305446820708254,10.54,improved
2,0,1.6,4,70,3605,3605,4.305691509208168,10.53,improved
