N,B,mg,LPN,K_code,n_pre,n_orth,msq,seconds,hamiltonian
6,0,0.1,4,26,195,195,0.27434784301311654,0.32,standard
6,0,0.1,4,28,245,245,0.27872417570009195,0.06,standard
6,0,0.1,4,30,295,295,0.2827919426639921,0.06,standard
6,0,0.1,4,32,360,360,0.2865912396220567,0.07,standard
6,0,0.1,4,34,425,425,0.2901548480175745,0.09,standard
6,0,0.1,4,36,507,507,0.29350990996220594,0.14,standard
6,0,0.1,4,38,589,589,0.2966791499664744,0.11,standard
6,0,0.1,4,40,690,690,0.2996817830167646,0.13,standard
6,0,0.1,4,42,791,791,0.3025342008758736,0.14,standard
6,0,0.1,4,44,913,913,0.30525049855352776,0.17,standard
6,0,0.1,4,46,1035,1035,0.3078428836106783,0.2,standard
6,0,0.1,4,48,1180,1180,0.31032199823959916,0.26,standard
6,0,0.1,4,50,1325,1325,0.3126971755081594,0.25,standard
6,0,0.1,4,52,1495,1495,0.3149766452723442,0.3,standard
6,0,0.1,4,54,1665,1665,0.31716770116848436,0.35,standard
6,0,0.1,4,56,1862,1862,0.3192768371879256,0.4,standard
6,0,0.1,4,58,2059,2059,0.3213098602444149,0.47,standard
6,0,0.1,4,60,2285,2285,0.3232719836254371,0.5,standard
6,0,0.1,4,62,2511,2511,0.32516790509109644,0.59,standard
6,0,0.1,4,64,2768,2768,0.3270018725511626,0.7,standard
6,0,0.1,4,66,3025,3025,0.3287777396161525,0.78,standard
6,0,0.1,4,68,3315,3315,0.3304990128378402,0.83,standard
6,0,0.1,4,70,3605,3605,0.3321688920887118,0.86,standard
6,0,0.05,4,26,195,195,0.07048282454464531,0.05,standard
6,0,0.05,4,28,245,245,0.07162834729430169,0.1,standard
6,0,0.05,4,30,295,295,0.07269440761817349,0.06,standard
6,0,0.05,4,32,360,360,0.07369127628740718,0.07,standard
6,0,0.05,4,34,425,425,0.0746273551872292,0.08,standard
6,0,0.05,4,36,507,507,0.07550960467911035,0.1,standard
6,0,0.05,4,38,589,589,0.07634385542811582,0.11,standard
6,0,0.05,4,40,690,690,0.0771350402509781,0.13,standard
6,0,0.05,4,42,791,791,0.07788736939797887,0.15,standard
6,0,0.05,4,44,913,913,0.07860446505799379,0.18,standard
6,0,0.05,4,46,1035,1035,0.07928946596277704,0.24,standard
6,0,0.05,4,48,1180,1180,0.07994510972753333,0.22,standard
6,0,0.05,4,50,1325,1325,0.08057379837989065,0.26,standard
6,0,0.05,4,52,1495,1495,0.08117765103523547,0.34,standard
6,0,0.05,4,54,1665,1665,0.08175854662880076,0.33,standard
6,0,0.05,4,56,1862,1862,0.08231815887590532,0.47,standard
6,0,0.05,4,58,2059,2059,0.08285798509432162,0.44,standard
6,0,0.05,4,60,2285,2285,0.08337937014064453,0.57,standard
6,0,0.05,4,62,2511,2511,0.08388352642056122,0.57,standard
6,0,0.05,4,64,2768,2768,0.08437155072037306,0.69,standard
6,0,0.05,4,66,3025,3025,0.0848444384487286,0.77,standard
6,0,0.05,4,68,3315,3315,0.08530309575138079,0.85,standard
6,0,0.05,4,70,3605,3605,0.08574834986863374,0.95,standard
