# M^2 of the ground state under the IMPROVED Hamiltonian -- van de Sande's
# endpoint subtraction, hep-ph/9605409 -- on Table I's own grid.
#
# The companion to data/chiral_grid_msq.csv, which holds the same grid under the
# standard Hamiltonian.  Together they are what docs/weak-coupling-limit.md
# compares.  Generated with:
#
#   tools/large_k_sweep.py --N <N> --B <B> --K-lo 25 --K-hi 71 \
#       --mg 1.6 0.8 0.4 0.2 0.1 0.05 --lpn <sweep_lpn(N,B)> --nev 12 \
#       --hamiltonian improved
#
# LPN is the Table I truncation, sweep_lpn(N,B) = valence+2, so these are the
# Fock-extended sectors the published table uses -- not the valence sectors
# where the construction has an exact anchor.
#
# Units: M^2 in m^2 + g^2/pi, the same convention as refs/table1.csv.
# Extrapolate these in a PLAIN 1/K series (van de Sande Eq. 14).  Do NOT admit
# K^-2b powers: that column is near-degenerate with the intercept at small b and
# corrupts it -- measured, see docs/weak-coupling-limit.md.
#
# Channels: mes N=2, mes N=3, bar N=3, mes N=4, bar N=4
# Couplings: 1.6, 0.8, 0.4, 0.2, 0.1, 0.05
# 696 rows.
quantity,N,B,mg,LPN,K_code,msq
mes,2,0,1.6,4,26,4.291365179481549
mes,2,0,1.6,4,28,4.293023562285989
mes,2,0,1.6,4,30,4.2944544370983815
mes,2,0,1.6,4,32,4.295700103529052
mes,2,0,1.6,4,34,4.29679606440157
mes,2,0,1.6,4,36,4.297766597314516
mes,2,0,1.6,4,38,4.298633289158941
mes,2,0,1.6,4,40,4.299411045393428
mes,2,0,1.6,4,42,4.300113785543193
mes,2,0,1.6,4,44,4.300751150534925
mes,2,0,1.6,4,46,4.3013325401451095
mes,2,0,1.6,4,48,4.301864454951835
mes,2,0,1.6,4,50,4.30235348405371
mes,2,0,1.6,4,52,4.302804162147623
mes,2,0,1.6,4,54,4.3032212527732705
mes,2,0,1.6,4,56,4.303608010157454
mes,2,0,1.6,4,58,4.303967968524226
mes,2,0,1.6,4,60,4.30430351988769
mes,2,0,1.6,4,62,4.304617345032545
mes,2,0,1.6,4,64,4.304911238750958
mes,2,0,1.6,4,66,4.305187273667553
mes,2,0,1.6,4,68,4.305446820708222
mes,2,0,1.6,4,70,4.305691509208191
mes,2,0,0.8,4,26,3.902553321322102
mes,2,0,0.8,4,28,3.9030911369287207
mes,2,0,0.8,4,30,3.9035912936471084
mes,2,0,0.8,4,32,3.9040290219486176
mes,2,0,0.8,4,34,3.9044385116568816
mes,2,0,0.8,4,36,3.904801930829384
mes,2,0,0.8,4,38,3.9051435628416686
mes,2,0,0.8,4,40,3.905450214092499
mes,2,0,0.8,4,42,3.9057396825275705
mes,2,0,0.8,4,44,3.906001958183944
mes,2,0,0.8,4,46,3.9062504363763337
mes,2,0,0.8,4,48,3.906477353240038
mes,2,0,0.8,4,50,3.9066930209434525
mes,2,0,0.8,4,52,3.906891301214072
mes,2,0,0.8,4,54,3.9070802884278315
mes,2,0,0.8,4,56,3.9072550479926917
mes,2,0,0.8,4,58,3.9074220414076573
mes,2,0,0.8,4,60,3.907577243561538
