# M^2 of the N=3 baryon ground state on a (m/g, K) grid.
#
# The input to the joint (m/g, K) extrapolation in tools/joint_fit.py, whose
# result was negative: tying the couplings together fits *worse* than fitting
# each separately, everywhere above m/g = 0.04.  Kept because reproducing a
# negative result needs its data, and because the grid is the widest K reach
# the solver has been run over (2K = 25..69 at the Table I truncation).
#
# Units: M^2 in m^2 + g^2/pi, the same convention as refs/table1.csv.
# Grid: 10 couplings x 12 K, complete -- no missing cells.
#
# Regenerate a superset (this is a three-column reduction of the tool's nine):
#   python tools/large_k_sweep.py --N 3 --B 1 --K-lo 25 --K-hi 71 \
#       --mg 1.6 0.8 0.4 0.3 0.2 0.15 0.1 0.075 0.05 0.025
mg,K_code,msq
1.6,25,10.444122735886536
1.6,29,10.482503994178419
1.6,33,10.511549833526319
1.6,37,10.53432119636014
1.6,41,10.552664524558226
1.6,45,10.567762950568971
1.6,49,10.58041088662915
1.6,53,10.591162118231571
1.6,57,10.600414771380978
1.6,61,10.608462554257361
1.6,65,10.61552696012901
1.6,69,10.621778220579053
0.8,25,9.81700463040654
0.8,29,9.89772182140229
0.8,33,9.96041019599899
0.8,37,10.01059156167193
0.8,41,10.051723860980614
0.8,45,10.08608770880455
0.8,49,10.115250639823536
0.8,53,10.140327002858081
0.8,57,10.16213152116369
0.8,61,10.181274159465403
0.8,65,10.198220968168139
0.8,69,10.213334373320352
0.4,25,5.953645195212275
0.4,29,6.08509979717873
0.4,33,6.192625007529519
0.4,37,6.282658763059761
0.4,41,6.359448277918751
0.4,45,6.425924920456125
0.4,49,6.484186284005469
0.4,53,6.535778396139467
0.4,57,6.581869233334761
0.4,61,6.623359826619663
0.4,65,6.660957880476639
0.4,69,6.695227999421665
0.2,25,2.1550579566957304
0.2,29,2.2246746492326497
0.2,33,2.2839689611127683
0.2,37,2.335444153067
0.2,41,2.380804530153958
0.2,45,2.4212607897668215
0.2,49,2.4577026292393622
0.2,53,2.490802209731029
0.2,57,2.5210791893327595
0.2,61,2.5489432368453064
0.2,65,2.5747227573739284
0.2,69,2.5986848564438048
0.1,25,0.6026355354010461
0.1,29,0.624343714954734
0.1,33,0.6430945579484564
0.1,37,0.6595830235773917
0.1,41,0.6742857593677805
0.1,45,0.6875437521349705
0.1,49,0.6996092743258392
0.1,53,0.7106741540565593
0.1,57,0.720887623581316
0.1,61,0.7303680378078408
0.1,65,0.739210825709082
0.1,69,0.7474940393639948
0.05,25,0.15519223222812756
0.05,29,0.16094655145748543
0.05,33,0.16593718153805082
0.05,37,0.17034224439945067
0.05,41,0.1742840910146597
0.05,45,0.17785037694491324
0.05,49,0.1811060445805476
0.05,53,0.18410054487244565
0.05,57,0.1868724006160352
0.05,61,0.18945220492019368
0.05,65,0.19186465737949754
0.05,69,0.19412998616069954
0.3,25,4.101922835821985
0.3,29,4.214066374553642
0.3,33,4.3077684634354965
0.3,37,4.38772124136325
0.3,41,4.457076961509168
0.3,45,4.518047351940373
0.3,49,4.572239028057845
0.3,53,4.620852652107101
0.3,57,4.664807001480406
0.3,61,4.7048193880522255
0.3,65,4.741459556151362
0.3,69,4.7751868512392415
0.15,25,1.2925177907327057
0.15,29,1.3369615042820828
0.15,33,1.3751136565269075
0.15,37,1.408472341773063
0.15,41,1.4380620738459409
0.15,45,1.4646137298123818
0.15,49,1.4886665745151801
0.15,53,1.5106295914746368
0.15,57,1.5308201398113674
0.15,61,1.5494892931807058
0.15,65,1.566839005468542
0.15,69,1.5830340712114264
0.075,25,0.3448659113978967
0.075,29,0.3574986126221325
0.075,33,0.36843579549639655
0.075,37,0.37807412674544016
0.075,41,0.38668591200069713
0.075,45,0.394466125757923
0.075,49,0.40155913961801987
0.075,53,0.4080748258553986
0.075,57,0.41409872960877786
0.075,61,0.4196987507510956
0.075,65,0.42492967993603753
0.075,69,0.4298363656591336
0.025,25,0.03909108642558391
0.025,29,0.04055125835394297
0.025,33,0.04181899918253771
0.025,37,0.042939113298718745
0.025,41,0.04394238694182721
0.025,45,0.04485088335939615
0.025,49,0.04568095396196963
0.025,53,0.046445053519139766
0.025,57,0.04715288736634475
0.025,61,0.04781216535514276
0.025,65,0.04842911392774129
0.025,69,0.04900883381743221
