N,B,mg,LPN,K_code,n_pre,n_orth,msq,seconds,hamiltonian
8,0,0.025,6,26,741,741,0.319193459298917,3.29,improved
8,0,0.025,6,28,1029,1029,0.3194511388710566,2.22,improved
8,0,0.025,6,30,1398,1398,0.3196698429338359,2.4,improved
8,0,0.025,6,32,1872,1872,0.31985705006097304,2.66,improved
8,0,0.025,6,34,2465,2465,0.3200185632864541,3.18,improved
8,0,0.025,6,36,3213,3213,0.3201587900301238,3.9,improved
8,0,0.025,6,38,4123,4123,0.3202812875801495,4.98,improved
8,0,0.025,6,40,5244,5244,0.3203888031423261,6.69,improved
8,0,0.025,6,42,6594,6594,0.32048363578995487,9.63,improved
8,0,0.025,6,44,8217,8217,0.3205675786117868,12.78,improved
8,0,0.025,6,46,10143,10143,0.32064217978811616,16.63,improved
8,0,0.025,6,48,12432,12432,0.32070865370456825,25.7,improved
