N,B,mg,LPN,K_code,n_pre,n_orth,msq,seconds,hamiltonian
7,1,0.1,9,25,212,147,18.713052319842618,12.41,improved
7,1,0.1,9,27,316,222,18.88922062654321,15.21,improved
7,1,0.1,9,29,459,325,19.04072000991045,19.55,improved
7,1,0.1,9,31,656,470,19.172290769425977,25.22,improved
7,1,0.1,9,33,919,663,19.287544261244406,33.32,improved
7,1,0.1,9,35,1270,925,19.389217102375373,43.39,improved
7,1,0.1,9,37,1729,1268,19.47952028034511,92.79,improved
7,1,0.1,9,39,2326,1719,19.560218319809046,75.77,improved
7,1,0.1,9,41,3090,2298,19.632729947543403,92.79,improved
7,1,0.1,9,43,4066,3044,19.69820844111136,120.39,improved
7,1,0.1,9,45,5295,3985,19.75760337636605,157.76,improved
7,1,0.1,11,25,510,249,18.68867834239764,96.47,improved
7,1,0.1,11,27,852,416,18.860349451862373,157.92,improved
7,1,0.1,11,29,1370,668,19.00767996680764,199.22,improved
7,1,0.1,11,31,2158,1061,19.135408583897714,313.86,improved
7,1,0.1,11,33,3305,1635,19.247104566408964,416.33,improved
7,1,0.1,11,35,4977,2489,19.345541095892656,642.95,improved
7,1,0.1,11,37,7338,3705,19.432867900726464,864.38,improved
7,1,0.1,11,39,10665,5447,19.510819453943377,1235.41,improved
7,1,0.1,11,41,15241,7866,19.580784381419136,1717.59,improved
7,1,0.1,11,43,21515,11232,19.643918248390236,2374.51,improved
7,1,0.1,11,45,29956,15802,19.701158301385643,2873.0,improved
7,1,0.05,9,25,212,147,9.19178768781391,11.07,improved
7,1,0.05,9,27,316,222,9.284734355916557,14.03,improved
7,1,0.05,9,29,459,325,9.36518852473326,18.02,improved
7,1,0.05,9,31,656,470,9.435478720753053,23.98,improved
7,1,0.05,9,33,919,663,9.497394791234141,31.27,improved
7,1,0.05,9,35,1270,925,9.552304868603992,40.79,improved
7,1,0.05,9,37,1729,1268,9.601319438725037,54.08,improved
7,1,0.05,9,39,2326,1719,9.645327934093043,69.57,improved
7,1,0.05,9,41,3090,2298,9.685048112520503,86.7,improved
7,1,0.05,9,43,4066,3044,9.72106742784081,109.82,improved
7,1,0.05,9,45,5295,3985,9.753872604558499,139.86,improved
7,1,0.05,11,25,510,249,9.176779498517073,87.79,improved
7,1,0.05,11,27,852,416,9.266846939326111,118.68,improved
7,1,0.05,11,29,1370,668,9.344602583677018,180.77,improved
7,1,0.05,11,31,2158,1061,9.412379401734462,254.69,improved
7,1,0.05,11,33,3305,1635,9.47195059130464,358.61,improved
7,1,0.05,11,35,4977,2489,9.52470217454734,512.96,improved
7,1,0.05,11,37,7338,3705,9.57171631217422,715.69,improved
7,1,0.05,11,39,10665,5447,9.61386737503914,1030.29,improved
7,1,0.05,11,41,15241,7866,9.65185779405738,1435.22,improved
7,1,0.05,11,43,21515,11232,9.686273619959263,1993.8,improved
7,1,0.05,11,45,29956,15802,9.717596720922403,2738.6,improved
7,1,0.025,9,25,212,147,4.525984688838243,11.1,improved
7,1,0.025,9,27,316,222,4.573415047949013,14.02,improved
7,1,0.025,9,29,459,325,4.614609331525841,18.31,improved
7,1,0.025,9,31,656,470,4.650711880926162,23.49,improved
7,1,0.025,9,33,919,663,4.682605978122184,31.2,improved
7,1,0.025,9,35,1270,925,4.710969766248208,40.48,improved
7,1,0.025,9,37,1729,1268,4.7363548711373955,53.29,improved
7,1,0.025,9,39,2326,1719,4.759203916463452,68.55,improved
7,1,0.025,9,41,3090,2298,4.779874900872214,86.8,improved
7,1,0.025,9,43,4066,3044,4.79866184368166,109.23,improved
7,1,0.025,9,45,5295,3985,4.815809078370701,139.89,improved
7,1,0.025,11,25,510,249,4.517643414194653,86.16,improved
7,1,0.025,11,27,852,416,4.563439014013892,118.48,improved
7,1,0.025,11,29,1370,668,4.6030917476768956,180.8,improved
7,1,0.025,11,31,2158,1061,4.637750418863354,249.32,improved
7,1,0.025,11,33,3305,1635,4.668291932190897,356.97,improved
7,1,0.025,11,35,4977,2489,4.695403407363953,509.07,improved
7,1,0.025,11,37,7338,3705,4.719623390712559,714.72,improved
7,1,0.025,11,39,10665,5447,4.741387223036856,1023.8,improved
7,1,0.025,11,41,15241,7866,4.761045369872325,1425.26,improved
7,1,0.025,11,43,21515,11232,4.778890401726593,1995.52,improved
7,1,0.025,11,45,29956,15802,4.795166477817441,2732.89,improved
7,1,0.0125,9,25,212,147,2.241997085902752,11.04,improved
7,1,0.0125,9,27,316,222,2.2659177635610877,14.18,improved
7,1,0.0125,9,29,459,325,2.2867295730876265,18.41,improved
7,1,0.0125,9,31,656,470,2.3049984631189537,23.73,improved
7,1,0.0125,9,33,919,663,2.321162157306694,31.74,improved
7,1,0.0125,9,35,1270,925,2.3355574649618487,41.06,improved
7,1,0.0125,9,37,1729,1268,2.3484586445121374,54.21,improved
7,1,0.0125,9,39,2326,1719,2.360085960966525,69.07,improved
7,1,0.0125,9,41,3090,2298,2.3706177958511714,86.75,improved
7,1,0.0125,9,43,4066,3044,2.3802009035088645,110.21,improved
7,1,0.0125,9,45,5295,3985,2.388957418682918,140.06,improved
7,1,0.0125,11,25,510,249,2.237595338137475,87.23,improved
7,1,0.0125,11,27,852,416,2.260643157539102,118.3,improved
7,1,0.0125,11,29,1370,668,2.2806290775086575,180.55,improved
