N,B,mg,LPN,K_code,n_pre,n_orth,msq,seconds,hamiltonian
5,1,0.1,7,25,287,199,1.564236761347018,0.37,standard
5,1,0.1,7,27,407,284,1.6026941191303068,0.1,standard
5,1,0.1,7,29,567,400,1.6383260175630996,0.16,standard
5,1,0.1,7,31,773,549,1.671512605217652,0.23,standard
5,1,0.1,7,33,1040,745,1.7025627445512488,0.36,standard
5,1,0.1,7,35,1378,993,1.731730684286271,0.44,standard
5,1,0.1,7,37,1803,1308,1.7592281492451716,0.58,standard
5,1,0.1,7,39,2330,1699,1.7852332746863615,0.88,standard
5,1,0.1,7,41,2980,2186,1.8098973209109024,1.15,standard
5,1,0.1,7,43,3771,2779,1.8333497963658965,1.57,standard
5,1,0.1,7,45,4732,3505,1.855702419964182,2.17,standard
5,1,0.1,9,25,804,385,1.5638067038274306,0.32,standard
5,1,0.1,9,27,1276,608,1.6021888093175252,0.59,standard
5,1,0.1,9,29,1982,949,1.6377467646869004,1.0,standard
5,1,0.1,9,31,2990,1435,1.6708686589011037,1.72,standard
5,1,0.1,9,33,4430,2144,1.701844346009133,3.02,standard
5,1,0.1,9,35,6421,3129,1.7309432341093036,5.09,standard
5,1,0.1,9,37,9167,4509,1.7583713832301173,8.01,standard
5,1,0.1,9,39,12861,6378,1.7843103186226907,12.1,standard
5,1,0.1,9,41,17812,8917,1.8089172517319954,19.46,standard
5,1,0.1,9,43,24319,12278,1.8323048405365674,30.17,standard
5,1,0.1,9,45,32837,16730,1.8545962257849182,48.09,standard
5,1,0.05,7,25,287,199,0.40119655803411286,0.08,standard
5,1,0.05,7,27,407,284,0.41116582683258873,0.12,standard
5,1,0.05,7,29,567,400,0.4204115189254579,0.17,standard
5,1,0.05,7,31,773,549,0.42903063358036564,0.24,standard
5,1,0.05,7,33,1040,745,0.4371020153254656,0.33,standard
5,1,0.05,7,35,1378,993,0.4446905946561482,0.51,standard
5,1,0.05,7,37,1803,1308,0.45185046419114216,0.62,standard
5,1,0.05,7,39,2330,1699,0.4586271526897918,0.86,standard
5,1,0.05,7,41,2980,2186,0.46505933464208554,1.23,standard
5,1,0.05,7,43,3771,2779,0.471180135054378,1.61,standard
5,1,0.05,7,45,4732,3505,0.4770181389046376,2.65,standard
5,1,0.05,9,25,804,385,0.4010836206251355,0.38,standard
5,1,0.05,9,27,1276,608,0.411032909994648,0.86,standard
5,1,0.05,9,29,1982,949,0.42025893180861706,1.19,standard
5,1,0.05,9,31,2990,1435,0.4288616312272109,2.41,standard
5,1,0.05,9,33,4430,2144,0.4369128835415331,3.68,standard
5,1,0.05,9,35,6421,3129,0.4444830996983166,6.42,standard
5,1,0.05,9,37,9167,4509,0.4516241630731546,9.99,standard
5,1,0.05,9,39,12861,6378,0.45838307047504706,15.28,standard
5,1,0.05,9,41,17812,8917,0.4648022430727532,26.55,standard
5,1,0.05,9,43,24319,12278,0.4709051864952581,37.61,standard
5,1,0.05,9,45,32837,16730,0.47672688207273023,80.47,standard
5,1,0.025,7,25,287,199,0.1009519782015713,0.08,standard
5,1,0.025,7,27,407,284,0.1034672618846844,0.15,standard
5,1,0.025,7,29,567,400,0.10580055269218308,0.17,standard
5,1,0.025,7,31,773,549,0.10797622594131008,0.24,standard
5,1,0.025,7,33,1040,745,0.11001409691736702,0.34,standard
5,1,0.025,7,35,1378,993,0.1119304857089228,0.47,standard
5,1,0.025,7,37,1803,1308,0.11373898969050436,0.63,standard
5,1,0.025,7,39,2330,1699,0.11545105461821042,0.92,standard
5,1,0.025,7,41,2980,2186,0.11707640400939219,1.2,standard
5,1,0.025,7,43,3771,2779,0.11862336687725052,2.07,standard
5,1,0.025,7,45,4732,3505,0.12009913130292019,3.45,standard
5,1,0.025,9,25,804,385,0.10092339525913004,0.55,standard
5,1,0.025,9,27,1276,608,0.10343360904857071,1.98,standard
5,1,0.025,9,29,1982,949,0.10576190617334812,2.0,standard
5,1,0.025,9,31,2990,1435,0.10793349781972188,4.92,standard
5,1,0.025,9,33,4430,2144,0.10996623419297334,9.44,standard
