label,N,B,mg,K_code,level,msq,dominant,w_dom,w2,w3,w4,w5,w6,w8,w10
tetra_N2,2,0,1.6,20,0,4.250882741574933,2,0.999793,0.999793,0.0,0.000207,0.0,0.0,0.0,0.0
tetra_N2,2,0,1.6,20,1,5.476251563070611,2,0.999062,0.999062,0.0,0.000938,0.0,0.0,0.0,0.0
tetra_N2,2,0,1.6,20,2,6.274907618826412,2,0.998862,0.998862,0.0,0.001138,0.0,0.0,0.0,0.0
tetra_N2,2,0,1.6,20,3,6.873174118299764,2,0.998507,0.998507,0.0,0.001492,0.0,1e-06,0.0,0.0
tetra_N2,2,0,1.6,20,4,7.400660047089067,2,0.99847,0.99847,0.0,0.00153,0.0,1e-06,0.0,0.0
tetra_N2,2,0,1.6,20,5,7.48053088490966,2,0.998303,0.998303,0.0,0.001696,0.0,1e-06,0.0,0.0
tetra_N2,2,0,1.6,20,6,9.27457011017313,2,0.998651,0.998651,0.0,0.001348,0.0,0.0,0.0,0.0
tetra_N2,2,0,1.6,20,7,9.283955132066193,2,0.998603,0.998603,0.0,0.001397,0.0,0.0,0.0,0.0
tetra_N2,2,0,1.6,20,8,16.682493531163157,4,0.999229,0.000118,0.0,0.999229,0.0,0.000654,0.0,0.0
tetra_N2,2,0,1.6,20,9,17.128461666455742,4,0.999567,0.0,0.0,0.999567,0.0,0.000433,0.0,0.0
tetra_N2,2,0,1.6,20,10,17.457621102562282,4,0.999353,7.7e-05,0.0,0.999353,0.0,0.00057,0.0,0.0
tetra_N2,2,0,1.6,20,11,17.506744507742454,4,0.999249,0.000249,0.0,0.999249,0.0,0.000502,0.0,0.0
tetra_N2,2,0,1.6,20,12,18.636270186449153,4,0.998648,6e-06,0.0,0.998648,0.0,0.001346,0.0,0.0
tetra_N2,2,0,1.6,20,13,18.946532384797933,4,0.999424,0.0,0.0,0.999424,0.0,0.000576,0.0,0.0
tetra_N2,2,0,1.6,20,14,19.049733942587707,4,0.998599,8.3e-05,0.0,0.998599,0.0,0.001318,0.0,0.0
tetra_N2,2,0,1.6,20,15,19.4522674160382,4,0.999026,0.000166,0.0,0.999026,0.0,0.000808,0.0,0.0
tetra_N2,2,0,1.6,20,16,19.46533413526954,4,0.998428,0.000156,0.0,0.998428,0.0,0.001416,0.0,0.0
tetra_N2,2,0,1.6,20,17,19.648774067636733,4,0.998915,0.000304,0.0,0.998915,0.0,0.000781,0.0,0.0
tetra_N2,2,0,1.6,20,18,20.030643803391808,2,0.998978,0.998978,0.0,0.001022,0.0,0.0,0.0,0.0
tetra_N2,2,0,1.6,20,19,20.044569478682806,2,0.99881,0.99881,0.0,0.00119,0.0,0.0,0.0,0.0
tetra_N2,2,0,1.6,20,20,20.493716410988625,4,0.998404,0.000108,0.0,0.998404,0.0,0.001488,0.0,0.0
