N,B,mg,LPN,K_code,n_pre,n_orth,msq,seconds,hamiltonian
8,1,0.00625,10,22,89,60,1.507863105850507,76.34,improved
8,1,0.00625,10,24,141,97,1.532781890853375,114.27,improved
8,1,0.00625,10,26,215,149,1.554255923730592,169.72,improved
8,1,0.00625,10,28,321,226,1.572947722451459,210.82,improved
8,1,0.00625,10,30,469,333,1.5893668625979829,270.23,improved
8,1,0.00625,10,32,675,485,1.6039052883297813,346.76,improved
8,1,0.00625,12,22,164,85,1.5059174040589316,293.06,improved
8,1,0.003125,10,22,89,60,0.7519867900533973,80.9,improved
8,1,0.003125,10,24,141,97,0.76445209772886,122.52,improved
8,1,0.003125,10,26,215,149,0.7751992918975092,179.97,improved
8,1,0.003125,10,28,321,226,0.7845582907741768,246.78,improved
8,1,0.003125,10,30,469,333,0.7927828437405051,346.0,improved
8,1,0.003125,10,32,675,485,0.8000681842980654,426.3,improved
8,1,0.003125,12,22,164,85,0.7510019769652194,337.77,improved
8,1,0.0015625,10,22,89,60,0.37549841772216974,80.54,improved
8,1,0.0015625,10,24,141,97,0.3817324024669131,124.88,improved
8,1,0.0015625,10,26,215,149,0.38710842570845083,188.55,improved
8,1,0.0015625,10,28,321,226,0.3917911060318399,330.12,improved
8,1,0.0015625,10,30,469,333,0.395907054311819,295.5,improved
8,1,0.0015625,10,32,675,485,0.3995536993243448,411.12,improved
8,1,0.0015625,12,22,164,85,0.3750029834692792,416.36,improved
8,1,0.00078125,10,22,89,60,0.18762437029317072,81.1,improved
8,1,0.00078125,10,24,141,97,0.19074167697612546,125.29,improved
8,1,0.00078125,10,26,215,149,0.19343028044804578,185.74,improved
8,1,0.00078125,10,28,321,226,0.19577240420634182,236.26,improved
8,1,0.00078125,10,30,469,333,0.1978312872085359,378.48,improved
8,1,0.00078125,10,32,675,485,0.1996555964308348,515.77,improved
8,1,0.00078125,12,22,164,85,0.18737589161133616,307.73,improved
8,1,0.000390625,10,22,89,60,0.09378083817908574,81.55,improved
8,1,0.000390625,10,24,141,97,0.09533956779194519,124.93,improved
8,1,0.000390625,10,26,215,149,0.09668401565363177,188.26,improved
8,1,0.000390625,10,28,321,226,0.09785527198089311,256.05,improved
8,1,0.000390625,10,30,469,333,0.09888493956645736,367.76,improved
8,1,0.000390625,10,32,675,485,0.09979733999285344,558.76,improved
8,1,0.000390625,12,22,164,85,0.09365640794316375,303.81,improved
8,1,0.0001953125,10,22,89,60,0.04688256435816448,82.43,improved
8,1,0.0001953125,10,24,141,97,0.0476619479332335,125.27,improved
8,1,0.0001953125,10,26,215,149,0.048334208157164806,185.0,improved
8,1,0.0001953125,10,28,321,226,0.048919884744456486,234.58,improved
8,1,0.0001953125,10,30,469,333,0.04943477491124172,299.27,improved
8,1,0.0001953125,10,32,675,485,0.04989103646579218,455.86,improved
8,1,0.0001953125,12,22,164,85,0.04682030135964849,356.12,improved
