N,B,mg,LPN,K_code,n_pre,n_orth,msq,seconds,hamiltonian
8,1,0.00625,10,22,89,60,0.013337335270083218,8.18,standard
8,1,0.00625,10,24,141,97,0.013830146849844632,12.6,standard
8,1,0.00625,10,26,215,149,0.014284620834379655,20.45,standard
8,1,0.00625,10,28,321,226,0.01470617853717371,30.89,standard
8,1,0.00625,10,30,469,333,0.015099182694501738,47.34,standard
8,1,0.00625,10,32,675,485,0.015467193447047077,70.98,standard
8,1,0.00625,12,22,164,85,0.013333312197114743,37.92,standard
8,1,0.003125,10,22,89,60,0.0033346488759449983,7.98,standard
8,1,0.003125,10,24,141,97,0.0034578651665296547,12.77,standard
8,1,0.003125,10,26,215,149,0.003571496263623145,20.09,standard
8,1,0.003125,10,28,321,226,0.003676897598550619,31.27,standard
8,1,0.003125,10,30,469,333,0.0037751599389330443,47.42,standard
8,1,0.003125,10,32,675,485,0.003867173388639961,70.52,standard
8,1,0.003125,12,22,164,85,0.002569667176115777,37.95,standard
8,1,0.0015625,10,22,89,60,0.000833681912416745,8.0,standard
8,1,0.0015625,10,24,141,97,0.0008644868223895416,12.92,standard
8,1,0.0015625,10,26,215,149,0.0008928953842675229,20.51,standard
8,1,0.0015625,10,28,321,226,0.000919246462522218,31.42,standard
8,1,0.0015625,10,30,469,333,0.0009438127538950933,47.38,standard
8,1,0.0015625,10,32,675,485,0.0009668167890035199,70.9,standard
8,1,0.00078125,10,22,89,60,0.00020842170896082923,8.04,standard
8,1,0.00078125,10,24,141,97,0.0002161229887679022,12.64,standard
8,1,0.00078125,10,26,215,149,0.00022322517855263873,20.67,standard
8,1,0.00078125,10,28,321,226,0.0002298129947005268,31.19,standard
8,1,0.00078125,10,30,469,333,0.00023595461153016927,46.83,standard
8,1,0.00078125,10,32,675,485,0.00024170566248558607,70.89,standard
8,1,0.000390625,10,22,89,60,5.210550421864095e-05,7.9,standard
8,1,0.000390625,10,24,141,97,5.403082738910163e-05,12.57,standard
8,1,0.000390625,10,26,215,149,5.580637791041206e-05,20.5,standard
8,1,0.000390625,10,28,321,226,5.745333484714193e-05,30.89,standard
8,1,0.000390625,10,30,469,333,5.898874194322406e-05,47.3,standard
8,1,0.000390625,10,32,675,485,6.042650718493706e-05,70.64,standard
8,1,0.0001953125,10,22,89,60,1.3026380836083376e-05,7.9,standard
8,1,0.0001953125,10,24,141,97,1.3507711904866811e-05,12.61,standard
8,1,0.0001953125,10,26,215,149,1.3951599690285307e-05,20.43,standard
8,1,0.0001953125,10,28,321,226,1.4363339148869427e-05,30.97,standard
8,1,0.0001953125,10,30,469,333,1.4747190992756037e-05,47.24,standard
8,1,0.0001953125,10,32,675,485,1.5106632555288386e-05,70.51,standard
