N,B,mg,LPN,K_code,n_pre,n_orth,msq,seconds,hamiltonian
8,0,0.00625,4,26,195,195,0.07890968526102916,3.15,improved
8,0,0.00625,4,28,245,245,0.07899155798638777,1.89,improved
8,0,0.00625,4,30,295,295,0.0790624299318412,1.91,improved
8,0,0.00625,4,32,360,360,0.07912433556890204,1.96,improved
8,0,0.00625,4,34,425,425,0.07917883846748323,1.95,improved
8,0,0.00625,4,36,507,507,0.07922715999053528,1.98,improved
8,0,0.00625,4,38,589,589,0.07927026795382529,2.0,improved
8,0,0.00625,4,40,690,690,0.07930893911318342,2.02,improved
8,0,0.00625,4,42,791,791,0.07934380404932512,2.07,improved
8,0,0.00625,4,44,913,913,0.07937537993578254,2.09,improved
8,0,0.00625,4,46,1035,1035,0.0794040949055365,2.14,improved
8,0,0.00625,4,48,1180,1180,0.0794303063742283,2.23,improved
8,0,0.00625,4,50,1325,1325,0.07945431506079832,2.23,improved
8,0,0.00625,4,52,1495,1495,0.07947637573849956,2.32,improved
8,0,0.00625,4,54,1665,1665,0.07949670570115513,2.41,improved
8,0,0.00625,4,56,1862,1862,0.07951549135846255,2.45,improved
8,0,0.00625,4,58,2059,2059,0.07953289355481574,2.56,improved
8,0,0.00625,4,60,2285,2285,0.0795490517694093,2.63,improved
8,0,0.00625,4,62,2511,2511,0.07956408753549442,2.65,improved
8,0,0.00625,4,64,2768,2768,0.07957810724738616,2.82,improved
8,0,0.00625,4,66,3025,3025,0.07959120441140848,2.94,improved
8,0,0.00625,4,68,3315,3315,0.07960346155944946,3.14,improved
8,0,0.00625,4,70,3605,3605,0.07961495178875834,3.26,improved
8,0,0.003125,4,26,195,195,0.03935387827575002,1.84,improved
8,0,0.003125,4,28,245,245,0.03939577740802535,1.88,improved
8,0,0.003125,4,30,295,295,0.03943213979963114,1.88,improved
8,0,0.003125,4,32,360,360,0.03946398455583766,1.91,improved
8,0,0.003125,4,34,425,425,0.03949209542860041,1.91,improved
8,0,0.003125,4,36,507,507,0.0395170850128845,1.96,improved
8,0,0.003125,4,38,589,589,0.03953943908486289,1.97,improved
8,0,0.003125,4,40,690,690,0.03955954775153439,2.0,improved
8,0,0.003125,4,42,791,791,0.03957772793587844,2.05,improved
8,0,0.003125,4,44,913,913,0.039594239741720084,2.08,improved
8,0,0.003125,4,46,1035,1035,0.03960929862483777,2.18,improved
8,0,0.003125,4,48,1180,1180,0.03962308460324496,2.17,improved
8,0,0.003125,4,50,1325,1325,0.03963574921556169,2.22,improved
8,0,0.003125,4,52,1495,1495,0.03964742096167608,2.35,improved
8,0,0.003125,4,54,1665,1665,0.039658209501861594,2.36,improved
8,0,0.003125,4,56,1862,1862,0.03966820898685126,2.43,improved
8,0,0.003125,4,58,2059,2059,0.039677500702833,2.54,improved
8,0,0.003125,4,60,2285,2285,0.03968615519924428,2.65,improved
8,0,0.003125,4,62,2511,2511,0.039694233998768355,2.66,improved
8,0,0.003125,4,64,2768,2768,0.03970179098241439,2.85,improved
8,0,0.003125,4,66,3025,3025,0.03970887356786831,2.97,improved
8,0,0.003125,4,68,3315,3315,0.03971552361839538,3.2,improved
8,0,0.003125,4,70,3605,3605,0.03972177823940377,3.33,improved
8,0,0.0015625,4,26,195,195,0.01965130756205749,1.87,improved
8,0,0.0015625,4,28,245,245,0.019672506040246913,1.89,improved
8,0,0.0015625,4,30,295,295,0.019690927378849764,1.9,improved
8,0,0.0015625,4,32,360,360,0.019707081539743414,1.92,improved
8,0,0.0015625,4,34,425,425,0.019721360848495132,1.93,improved
8,0,0.0015625,4,36,507,507,0.0197340720584614,1.96,improved
8,0,0.0015625,4,38,589,589,0.019745458493541184,1.99,improved
8,0,0.0015625,4,40,690,690,0.019755715615672534,2.01,improved
8,0,0.0015625,4,42,791,791,0.01976500226679568,2.06,improved
8,0,0.0015625,4,44,913,913,0.019773448876685203,2.13,improved
8,0,0.0015625,4,46,1035,1035,0.019781163495711677,2.09,improved
8,0,0.0015625,4,48,1180,1180,0.01978823644848983,2.15,improved
8,0,0.0015625,4,50,1325,1325,0.019794743791260457,2.29,improved
8,0,0.0015625,4,52,1495,1495,0.01980075003011713,2.28,improved
8,0,0.0015625,4,54,1665,1665,0.019806310259025114,2.32,improved
8,0,0.0015625,4,56,1862,1862,0.019811471772144786,2.48,improved
8,0,0.0015625,4,58,2059,2059,0.01981627542258639,2.52,improved
8,0,0.0015625,4,60,2285,2285,0.01982075668240763,2.64,improved
8,0,0.0015625,4,62,2511,2511,0.019824946496005087,2.75,improved
8,0,0.0015625,4,64,2768,2768,0.019828871969817922,2.88,improved
8,0,0.0015625,4,66,3025,3025,0.019832556974316077,2.93,improved
8,0,0.0015625,4,68,3315,3315,0.019836022586670204,3.19,improved
8,0,0.0015625,4,70,3605,3605,0.019839287497181692,3.2,improved
8,0,0.00078125,4,26,195,195,0.009819197504654887,1.81,improved
8,0,0.00078125,4,28,245,245,0.009829860045741028,1.83,improved
8,0,0.00078125,4,30,295,295,0.009839131872375555,1.83,improved
8,0,0.00078125,4,32,360,360,0.00984726805005589,1.89,improved
8,0,0.00078125,4,34,425,425,0.009854464852941763,1.89,improved
8,0,0.00078125,4,36,507,507,0.009860875774519925,1.94,improved
8,0,0.00078125,4,38,589,589,0.009866622578560177,1.97,improved
8,0,0.00078125,4,40,690,690,0.009871803093475259,2.02,improved
8,0,0.00078125,4,42,791,791,0.009876496844249676,2.04,improved
8,0,0.00078125,4,44,913,913,0.009880769121182523,2.07,improved
8,0,0.00078125,4,46,1035,1035,0.009884674035942932,2.12,improved
8,0,0.00078125,4,48,1180,1180,0.009888256829455318,2.21,improved
8,0,0.00078125,4,50,1325,1325,0.009891555599013,2.22,improved
