N,B,mg,LPN,K_code,n_pre,n_orth,msq,seconds,hamiltonian
8,0,0.00625,4,26,195,195,0.0011113578952183939,2.1,standard
8,0,0.00625,4,28,245,245,0.001129534624608266,1.83,standard
8,0,0.00625,4,30,295,295,0.0011464577068522976,1.86,standard
8,0,0.00625,4,32,360,360,0.0011622889059124588,1.85,standard
8,0,0.00625,4,34,425,425,0.0011771605737650982,1.88,standard
8,0,0.00625,4,36,507,507,0.0011911823733520264,1.95,standard
8,0,0.00625,4,38,589,589,0.0012044461842619157,1.91,standard
8,0,0.00625,4,40,690,690,0.0012170297505105195,1.93,standard
8,0,0.00625,4,42,791,791,0.0012289994389366268,1.95,standard
8,0,0.00625,4,44,913,913,0.0012404123558235564,1.97,standard
8,0,0.00625,4,46,1035,1035,0.001251317993143327,2.0,standard
8,0,0.00625,4,48,1180,1180,0.0012617595243733322,2.07,standard
8,0,0.00625,4,50,1325,1325,0.0012717748372161257,2.08,standard
8,0,0.00625,4,52,1495,1495,0.0012813973608335229,2.1,standard
8,0,0.00625,4,54,1665,1665,0.0012906567408178327,2.22,standard
8,0,0.00625,4,56,1862,1862,0.001299579388132191,2.24,standard
8,0,0.00625,4,58,2059,2059,0.0013081889337065668,2.33,standard
8,0,0.00625,4,60,2285,2285,0.001316506605801376,2.36,standard
8,0,0.00625,4,62,2511,2511,0.001324551543671646,2.47,standard
8,0,0.00625,4,64,2768,2768,0.0013323410646034481,2.64,standard
8,0,0.00625,4,66,3025,3025,0.0013398908867473642,2.75,standard
8,0,0.00625,4,68,3315,3315,0.0013472153210534355,5.52,standard
8,0,0.00625,4,70,3605,3605,0.0013543274339860726,3.72,standard
8,0,0.003125,4,26,195,195,0.0002778682926192634,1.82,standard
8,0,0.003125,4,28,245,245,0.000282413184336396,1.86,standard
8,0,0.003125,4,30,295,295,0.00028664463031581865,1.86,standard
8,0,0.003125,4,32,360,360,0.0002906030753263038,1.85,standard
8,0,0.003125,4,34,425,425,0.00029432161056193467,1.85,standard
8,0,0.003125,4,36,507,507,0.00029782765428681827,1.9,standard
8,0,0.003125,4,38,589,589,0.00030114417877724403,1.89,standard
8,0,0.003125,4,40,690,690,0.0003042906221220651,1.92,standard
8,0,0.003125,4,42,791,791,0.0003072835776923294,1.93,standard
8,0,0.003125,4,44,913,913,0.0003101373233390589,1.97,standard
8,0,0.003125,4,46,1035,1035,0.0003128642332556737,2.04,standard
