N,B,mg,LPN,K_code,n_pre,n_orth,msq,seconds,hamiltonian
6,1,0.00625,8,6,1,1,0.523991065598943,0.41,improved
6,1,0.00625,8,8,1,1,0.5917729791532945,0.02,improved
6,1,0.00625,8,10,4,3,0.6374101156745402,0.05,improved
6,1,0.00625,8,12,9,6,0.6695991888806498,0.08,improved
6,1,0.00625,8,14,18,12,0.6933964315549536,0.15,improved
6,1,0.00625,8,16,32,21,0.7116644088450564,0.22,improved
6,1,0.00625,8,18,55,37,0.7261350985452486,0.37,improved
6,1,0.00625,8,20,88,59,0.7378971436895267,0.59,improved
6,1,0.00625,8,22,137,94,0.7476182452265948,0.75,improved
6,1,0.00625,8,24,207,143,0.7557860546150932,0.97,improved
6,1,0.00625,8,26,306,214,0.7627414445256773,1.31,improved
6,1,0.00625,8,28,440,310,0.7687356799868621,1.74,improved
6,1,0.00625,8,30,623,444,0.7739522270317328,2.46,improved
6,1,0.00625,8,32,863,619,0.7785333678728863,3.29,improved
6,1,0.003125,8,6,1,1,0.26114464561221884,0.03,improved
6,1,0.003125,8,8,1,1,0.2949138510428342,0.02,improved
6,1,0.003125,8,10,4,3,0.31766556431481935,0.05,improved
6,1,0.003125,8,12,9,6,0.3337248856198256,0.08,improved
6,1,0.003125,8,14,18,12,0.34560686370556004,0.14,improved
6,1,0.003125,8,16,32,21,0.3547354171568218,0.22,improved
6,1,0.003125,8,18,55,37,0.36197171556281826,0.36,improved
6,1,0.003125,8,20,88,59,0.36785727148734987,0.61,improved
6,1,0.003125,8,22,137,94,0.37272455292307627,0.73,improved
6,1,0.003125,8,24,207,143,0.37681651309832537,0.97,improved
6,1,0.003125,8,26,306,214,0.38030293047669084,1.3,improved
6,1,0.003125,8,28,440,310,0.38330903115975157,1.79,improved
6,1,0.003125,8,30,623,444,0.3859263355059798,2.38,improved
6,1,0.003125,8,32,863,619,0.3882258359875865,3.28,improved
6,1,0.0015625,8,6,1,1,0.13035659711708114,0.03,improved
6,1,0.0015625,8,8,1,1,0.14721039110702072,0.02,improved
6,1,0.0015625,8,10,4,3,0.15856925596204458,0.05,improved
6,1,0.0015625,8,12,9,6,0.16658989477079894,0.08,improved
6,1,0.0015625,8,14,18,12,0.17252655206769035,0.14,improved
6,1,0.0015625,8,16,32,21,0.17708933585624995,0.22,improved
6,1,0.0015625,8,18,55,37,0.18070761813604796,0.35,improved
6,1,0.0015625,8,20,88,59,0.18365144682590356,0.58,improved
6,1,0.0015625,8,22,137,94,0.18608670635598565,0.74,improved
6,1,0.0015625,8,24,207,143,0.1881346507308678,0.98,improved
6,1,0.0015625,8,26,306,214,0.18988000181395015,1.28,improved
6,1,0.0015625,8,28,440,310,0.19138526894643604,1.75,improved
6,1,0.0015625,8,30,623,444,0.19269615724934303,2.35,improved
6,1,0.0015625,8,32,863,619,0.19384812438134122,3.24,improved
6,1,0.00078125,8,6,1,1,0.06512399353381479,0.03,improved
6,1,0.00078125,8,8,1,1,0.07354314226775069,0.02,improved
6,1,0.00078125,8,10,4,3,0.07921829213621508,0.05,improved
6,1,0.00078125,8,12,9,6,0.08322632889435268,0.08,improved
6,1,0.00078125,8,14,18,12,0.0861935532666128,0.14,improved
6,1,0.00078125,8,16,32,21,0.08847455516412496,0.21,improved
6,1,0.00078125,8,18,55,37,0.09028371640881298,0.35,improved
6,1,0.00078125,8,20,88,59,0.09175588311223631,0.58,improved
6,1,0.00078125,8,22,137,94,0.092973909610222,0.76,improved
6,1,0.00078125,8,24,207,143,0.09399836669316339,0.98,improved
6,1,0.00078125,8,26,306,214,0.09487157308937917,1.29,improved
6,1,0.00078125,8,28,440,310,0.0956247572788307,1.72,improved
6,1,0.00078125,8,30,623,444,0.09628075781968967,2.35,improved
6,1,0.00078125,8,32,863,619,0.09685729371893562,3.27,improved
6,1,0.000390625,8,6,1,1,0.03254837374992903,0.03,improved
6,1,0.000390625,8,8,1,1,0.03675600528076842,0.02,improved
