N,B,mg,LPN,K_code,n_pre,n_orth,msq,seconds,hamiltonian
7,1,0.00625,9,7,1,1,0.006012466877884753,0.4,standard
7,1,0.00625,9,9,1,1,0.0069940941232513815,0.12,standard
7,1,0.00625,9,11,4,3,0.007808903438141082,0.14,standard
7,1,0.00625,9,13,9,6,0.008501288721746254,0.15,standard
7,1,0.00625,9,15,18,12,0.009101556236490203,0.2,standard
7,1,0.00625,9,17,32,21,0.009630535388241946,0.28,standard
7,1,0.00625,9,19,55,37,0.01010291469863462,0.45,standard
7,1,0.00625,9,21,89,60,0.010529361373991037,0.76,standard
7,1,0.00625,9,23,140,96,0.010917837157708488,1.22,standard
7,1,0.00625,9,25,212,147,0.01127442886529138,1.76,standard
7,1,0.00625,9,27,316,222,0.0116038874939179,2.71,standard
7,1,0.00625,9,29,459,325,0.011909988563611652,4.3,standard
7,1,0.00625,9,31,656,470,0.012195779644141133,6.66,standard
7,1,0.00625,9,33,919,663,0.012463754620635054,9.97,standard
7,1,0.003125,9,7,1,1,0.0015032550603618178,0.12,standard
7,1,0.003125,9,9,1,1,0.0017486844579696007,0.12,standard
7,1,0.003125,9,11,4,3,0.0019524061471681811,0.15,standard
7,1,0.003125,9,13,9,6,0.0021255194809437087,0.16,standard
7,1,0.003125,9,15,18,12,0.0022756015961104253,0.2,standard
7,1,0.003125,9,17,32,21,0.0024078602282727717,0.28,standard
7,1,0.003125,9,19,55,37,0.0025259677769952945,0.47,standard
7,1,0.003125,9,21,89,60,0.0026325912396583874,0.71,standard
7,1,0.003125,9,23,140,96,0.0027297211990233434,1.18,standard
7,1,0.003125,9,25,212,147,0.0028188794724111313,1.75,standard
7,1,0.003125,9,27,316,222,0.002901253898500243,2.69,standard
7,1,0.003125,9,29,459,325,0.002977788429200267,4.24,standard
7,1,0.003125,9,31,656,470,0.003049245015828605,6.61,standard
7,1,0.003125,9,33,919,663,0.0031162471780410016,9.91,standard
7,1,0.0015625,9,7,1,1,0.0003758224123846007,0.15,standard
7,1,0.0015625,9,9,1,1,0.00043718117358793995,0.12,standard
7,1,0.0015625,9,11,4,3,0.00048811280606618636,0.14,standard
7,1,0.0015625,9,13,9,6,0.0005313922029375032,0.16,standard
7,1,0.0015625,9,15,18,12,0.0005689136841167718,0.22,standard
7,1,0.0015625,9,17,32,21,0.0006019792075226106,0.3,standard
7,1,0.0015625,9,19,55,37,0.0006315068898337427,0.44,standard
7,1,0.0015625,9,21,89,60,0.00065816349273581,0.77,standard
7,1,0.0015625,9,23,140,96,0.0006824466710228176,1.29,standard
7,1,0.0015625,9,25,212,147,0.0007047368860287491,1.78,standard
7,1,0.0015625,9,27,316,222,0.000725331103283837,2.72,standard
7,1,0.0015625,9,29,459,325,0.0007444653149501218,4.23,standard
7,1,0.0015625,9,31,656,470,0.0007623300127021426,6.59,standard
7,1,0.0015625,9,33,919,663,0.0007790810794517609,9.98,standard
7,1,0.00078125,9,7,1,1,9.39561435802548e-05,0.12,standard
7,1,0.00078125,9,9,1,1,0.00010929592212166004,0.12,standard
7,1,0.00078125,9,11,4,3,0.0001220289058747788,0.14,standard
7,1,0.00078125,9,13,9,6,0.00013284882157035865,0.15,standard
7,1,0.00078125,9,15,18,12,0.0001422292513920292,0.2,standard
7,1,0.00078125,9,17,32,21,0.00015049568633641113,0.29,standard
7,1,0.00078125,9,19,55,37,0.0001578776566263493,0.48,standard
7,1,0.00078125,9,21,89,60,0.00016454185341332206,0.75,standard
7,1,0.00078125,9,23,140,96,0.00017061269102246006,1.21,standard
7,1,0.00078125,9,25,212,147,0.000176185285178561,1.69,standard
7,1,0.00078125,9,27,316,222,0.00018133387766073236,2.73,standard
7,1,0.00078125,9,29,459,325,0.00018611746676012273,4.14,standard
7,1,0.00078125,9,31,656,470,0.00019058367558923375,6.44,standard
7,1,0.00078125,9,33,919,663,0.00019477147525125894,9.82,standard
7,1,0.000390625,9,7,1,1,2.348906967940031e-05,0.12,standard
7,1,0.000390625,9,9,1,1,2.7324019828829305e-05,0.11,standard
7,1,0.000390625,9,11,4,3,3.050727049106712e-05,0.14,standard
7,1,0.000390625,9,13,9,6,3.321225356661923e-05,0.15,standard
7,1,0.000390625,9,15,18,12,3.55573647639912e-05,0.2,standard
7,1,0.000390625,9,17,32,21,3.762397686446389e-05,0.28,standard
7,1,0.000390625,9,19,55,37,3.946947257904199e-05,0.46,standard
7,1,0.000390625,9,21,89,60,4.113552463110695e-05,0.71,standard
7,1,0.000390625,9,23,140,96,4.2653236703367844e-05,1.18,standard
7,1,0.000390625,9,25,212,147,4.404638777588846e-05,1.73,standard
7,1,0.000390625,9,27,316,222,4.533353827086054e-05,2.61,standard
7,1,0.000390625,9,29,459,325,4.652943783867745e-05,4.11,standard
7,1,0.000390625,9,31,656,470,4.7645992252838314e-05,6.41,standard
7,1,0.000390625,9,33,919,663,4.8692944139154994e-05,9.81,standard
7,1,0.0001953125,9,7,1,1,5.8722695346861715e-06,0.12,standard
7,1,0.0001953125,9,9,1,1,6.831007415590412e-06,0.11,standard
7,1,0.0001953125,9,11,4,3,7.626820380207731e-06,0.14,standard
7,1,0.0001953125,9,13,9,6,8.303066406045154e-06,0.15,standard
7,1,0.0001953125,9,15,18,12,8.889344423936155e-06,0.2,standard
7,1,0.0001953125,9,17,32,21,9.405997673159451e-06,0.27,standard
7,1,0.0001953125,9,19,55,37,9.867371792602797e-06,0.46,standard
7,1,0.0001953125,9,21,89,60,1.0283885015820934e-05,0.73,standard
7,1,0.0001953125,9,23,140,96,1.066331317899734e-05,1.14,standard
7,1,0.0001953125,9,25,212,147,1.1011601127868254e-05,1.71,standard
7,1,0.0001953125,9,27,316,222,1.1333388901064201e-05,2.68,standard
7,1,0.0001953125,9,29,459,325,1.1632363915877955e-05,4.18,standard
7,1,0.0001953125,9,31,656,470,1.1911502562079071e-05,6.5,standard
7,1,0.0001953125,9,33,919,663,1.2173240746965857e-05,9.75,standard
