N,B,mg,LPN,K_code,n_pre,n_orth,msq,seconds,hamiltonian
6,0,0.00625,4,26,195,195,0.06795554344921878,0.47,improved
6,0,0.00625,4,28,245,245,0.06802421055195759,0.1,improved
6,0,0.00625,4,30,295,295,0.06808347835941662,0.13,improved
6,0,0.00625,4,32,360,360,0.06813509325846823,0.19,improved
6,0,0.00625,4,34,425,425,0.06818039678614997,0.16,improved
6,0,0.00625,4,36,507,507,0.06822043611855358,0.19,improved
6,0,0.00625,4,38,589,589,0.06825604065508648,0.24,improved
6,0,0.00625,4,40,690,690,0.06828787553341223,0.25,improved
6,0,0.00625,4,42,791,791,0.06831648047594899,0.29,improved
6,0,0.00625,4,44,913,913,0.06834229775466509,0.33,improved
6,0,0.00625,4,46,1035,1035,0.06836569333567208,0.41,improved
6,0,0.00625,4,48,1180,1180,0.06838697246194829,0.43,improved
6,0,0.00625,4,50,1325,1325,0.06840639181431564,0.48,improved
6,0,0.00625,4,52,1495,1495,0.06842416866341497,0.61,improved
6,0,0.00625,4,54,1665,1665,0.06844048824492212,0.61,improved
6,0,0.00625,4,56,1862,1862,0.0684555092802366,0.77,improved
6,0,0.00625,4,58,2059,2059,0.06846936867009124,0.78,improved
6,0,0.00625,4,60,2285,2285,0.0684821849945572,0.92,improved
6,0,0.00625,4,62,2511,2511,0.0684940615487152,0.96,improved
6,0,0.00625,4,64,2768,2768,0.06850508863160636,1.14,improved
6,0,0.00625,4,66,3025,3025,0.06851534560404568,1.28,improved
6,0,0.00625,4,68,3315,3315,0.0685249023878441,1.44,improved
6,0,0.00625,4,70,3605,3605,0.06853382091767418,1.59,improved
6,0,0.003125,4,26,195,195,0.03388051247379023,0.09,improved
6,0,0.003125,4,28,245,245,0.03391610643278543,0.1,improved
6,0,0.003125,4,30,295,295,0.03394695195200438,0.12,improved
6,0,0.003125,4,32,360,360,0.03397392506121457,0.15,improved
6,0,0.003125,4,34,425,425,0.03399769930066117,0.17,improved
6,0,0.003125,4,36,507,507,0.03401880094380872,0.19,improved
6,0,0.003125,4,38,589,589,0.03403764721958912,0.21,improved
6,0,0.003125,4,40,690,690,0.034054573071870126,0.25,improved
6,0,0.003125,4,42,791,791,0.03406985052816777,0.32,improved
6,0,0.003125,4,44,913,913,0.03408370276299438,0.33,improved
6,0,0.003125,4,46,1035,1035,0.03409631460447747,0.37,improved
6,0,0.003125,4,48,1180,1180,0.03410784040453492,0.42,improved
6,0,0.003125,4,50,1325,1325,0.03411841007012139,0.52,improved
6,0,0.003125,4,52,1495,1495,0.03412813370935422,0.54,improved
6,0,0.003125,4,54,1665,1665,0.03413710526130947,0.66,improved
6,0,0.003125,4,56,1862,1862,0.03414540534163229,0.69,improved
6,0,0.003125,4,58,2059,2059,0.034153103542685144,0.83,improved
6,0,0.003125,4,60,2285,2285,0.03416026021611432,0.87,improved
6,0,0.003125,4,62,2511,2511,0.0341669279963181,1.02,improved
6,0,0.003125,4,64,2768,2768,0.03417315295225566,1.15,improved
6,0,0.003125,4,66,3025,3025,0.03417897560009879,1.19,improved
6,0,0.003125,4,68,3315,3315,0.034184431712576714,1.39,improved
6,0,0.003125,4,70,3605,3605,0.03418955298471634,1.52,improved
6,0,0.0015625,4,26,195,195,0.016915656543056705,0.08,improved
6,0,0.0015625,4,28,245,245,0.016933782213001045,0.14,improved
6,0,0.0015625,4,30,295,295,0.016949521852894556,0.13,improved
6,0,0.0015625,4,32,360,360,0.016963314117101853,0.14,improved
6,0,0.0015625,4,34,425,425,0.016975496416083768,0.16,improved
6,0,0.0015625,4,36,507,507,0.016986332521340353,0.18,improved
6,0,0.0015625,4,38,589,589,0.016996031635654253,0.21,improved
6,0,0.0015625,4,40,690,690,0.01700476180191591,0.24,improved
6,0,0.0015625,4,42,791,791,0.017012659545996976,0.27,improved
6,0,0.0015625,4,44,913,913,0.01701983694278295,0.37,improved
6,0,0.0015625,4,46,1035,1035,0.01702638685158943,0.36,improved
6,0,0.0015625,4,48,1180,1180,0.017032386859381687,0.41,improved
6,0,0.0015625,4,50,1325,1325,0.017037902306316483,0.48,improved
6,0,0.0015625,4,52,1495,1495,0.01704298858304951,0.6,improved
6,0,0.0015625,4,54,1665,1665,0.017047692998347224,0.62,improved
6,0,0.0015625,4,56,1862,1862,0.01705205615145571,0.75,improved
6,0,0.0015625,4,58,2059,2059,0.017056113119499085,0.78,improved
