N,B,mg,LPN,K_code,n_pre,n_orth,msq,seconds,hamiltonian
6,0,0.00625,4,26,195,195,0.0011113505835387857,0.31,standard
6,0,0.00625,4,28,245,245,0.0011295266380932163,0.06,standard
6,0,0.00625,4,30,295,295,0.001146449055522096,0.06,standard
6,0,0.00625,4,32,360,360,0.0011622795997834022,0.08,standard
6,0,0.00625,4,34,425,425,0.0011771506228599,0.1,standard
6,0,0.00625,4,36,507,507,0.0011911717872884686,0.16,standard
6,0,0.00625,4,38,589,589,0.0012044349724982322,0.12,standard
6,0,0.00625,4,40,690,690,0.0012170179223867333,0.15,standard
6,0,0.00625,4,42,791,791,0.0012289870033309288,0.18,standard
6,0,0.00625,4,44,913,913,0.0012403993215379858,0.22,standard
6,0,0.00625,4,46,1035,1035,0.0012513043685364908,0.23,standard
6,0,0.00625,4,48,1180,1180,0.0012617453177501386,0.35,standard
6,0,0.00625,4,50,1325,1325,0.0012717600564178496,0.33,standard
6,0,0.00625,4,52,1495,1495,0.001281382013655682,0.37,standard
6,0,0.00625,4,54,1665,1665,0.0012906408344959546,0.46,standard
6,0,0.00625,4,56,1862,1862,0.0012995629300945734,0.48,standard
6,0,0.00625,4,58,2059,2059,0.001308171931065505,0.6,standard
6,0,0.00625,4,60,2285,2285,0.001316489064894214,0.64,standard
6,0,0.00625,4,62,2511,2511,0.0013245334712767244,0.75,standard
6,0,0.00625,4,64,2768,2768,0.0013323224669488764,0.88,standard
6,0,0.00625,4,66,3025,3025,0.0013398717702590665,0.97,standard
6,0,0.00625,4,68,3315,3315,0.0013471956915333306,1.11,standard
6,0,0.00625,4,70,3605,3605,0.0013543072972140948,1.32,standard
6,0,0.003125,4,26,195,195,0.0002778678355417603,0.06,standard
6,0,0.003125,4,28,245,245,0.00028241268508603093,0.06,standard
6,0,0.003125,4,30,295,295,0.00028664408953757306,0.07,standard
6,0,0.003125,4,32,360,360,0.0002906024935945118,0.08,standard
6,0,0.003125,4,34,425,425,0.0002943209883903396,0.14,standard
6,0,0.003125,4,36,507,507,0.00029782699253715105,0.11,standard
6,0,0.003125,4,38,589,589,0.00030114347788666153,0.12,standard
6,0,0.003125,4,40,690,690,0.00030428988267914545,0.15,standard
6,0,0.003125,4,42,791,791,0.00030728280015786697,0.18,standard
6,0,0.003125,4,44,913,913,0.0003101365082853546,0.2,standard
6,0,0.003125,4,46,1035,1035,0.000312863381467041,0.28,standard
6,0,0.003125,4,48,1180,1180,0.00031547421401087797,0.28,standard
6,0,0.003125,4,50,1325,1325,0.0003179784790313285,0.31,standard
6,0,0.003125,4,52,1495,1495,0.0003203845346138286,0.44,standard
6,0,0.003125,4,54,1665,1665,0.0003226997927273644,0.42,standard
6,0,0.003125,4,56,1862,1862,0.00032493085735939335,0.48,standard
6,0,0.003125,4,58,2059,2059,0.00032708363642989575,0.6,standard
6,0,0.003125,4,60,2285,2285,0.00032916343776068875,0.7,standard
6,0,0.003125,4,62,2511,2511,0.00033117504668384284,0.72,standard
6,0,0.003125,4,64,2768,2768,0.00033312279296070723,0.87,standard
6,0,0.003125,4,66,3025,3025,0.00033501060667104777,1.02,standard
6,0,0.003125,4,68,3315,3315,0.0003368420658813586,1.2,standard
6,0,0.003125,4,70,3605,3605,0.0003386204374979916,1.28,standard
6,0,0.0015625,4,26,195,195,6.946884597136703e-05,0.05,standard
6,0,0.0015625,4,28,245,245,7.060511065586756e-05,0.06,standard
6,0,0.0015625,4,30,295,295,7.166301173869047e-05,0.07,standard
6,0,0.0015625,4,32,360,360,7.265266074198666e-05,0.08,standard
6,0,0.0015625,4,34,425,425,7.358233073794205e-05,0.1,standard
6,0,0.0015625,4,36,507,507,7.44588763411746e-05,0.11,standard
6,0,0.0015625,4,38,589,589,7.528804069948807e-05,0.13,standard
6,0,0.0015625,4,40,690,690,7.60746836601323e-05,0.15,standard
6,0,0.0015625,4,42,791,791,7.68229534832784e-05,0.17,standard
6,0,0.0015625,4,44,913,913,7.753641984432541e-05,0.2,standard
6,0,0.0015625,4,46,1035,1035,7.821817627432993e-05,0.28,standard
6,0,0.0015625,4,48,1180,1180,7.887092164095458e-05,0.28,standard
6,0,0.0015625,4,50,1325,1325,7.94970242398454e-05,0.31,standard
6,0,0.0015625,4,52,1495,1495,8.009857346812167e-05,0.44,standard
6,0,0.0015625,4,54,1665,1665,8.06774226321644e-05,0.43,standard
6,0,0.0015625,4,56,1862,1862,8.12352225964141e-05,0.55,standard
6,0,0.0015625,4,58,2059,2059,8.177345040040875e-05,0.57,standard
6,0,0.0015625,4,60,2285,2285,8.22934331070222e-05,0.72,standard
6,0,0.0015625,4,62,2511,2511,8.279636707851588e-05,0.77,standard
6,0,0.0015625,4,64,2768,2768,8.328333474622207e-05,0.93,standard
6,0,0.0015625,4,66,3025,3025,8.375531865841025e-05,1.04,standard
6,0,0.0015625,4,68,3315,3315,8.421321334254394e-05,1.18,standard
6,0,0.0015625,4,70,3605,3605,8.465783558294901e-05,1.29,standard
