# ARTICLE Fig. 4 -- the paper's dedicated higher-Fock figure, measured directly
# from a 600 dpi render by column-probing each panel's own lattice.
#
# This figure had never been compared against our solvers.  It matters because
# it plots the baryon five-quark sector at 2K=15 INDEPENDENTLY of Fig. 6, which
# plots it at 2K=21 and is the one panel set that disagrees.
#
# Frame tops are NOT the last labelled tick in (b) and (c) -- the same trap as
# Figs. 3(b), 5(b) and 6.  Read from the y-label positions:
# Reading (b) as 22.5 makes every value 16% low, which reads as a discrepancy.
#
# Only the m/g=1.6 series are recorded.  Each panel also draws m/g=0.1, whose
# multipliers are not reliably legible and which no round power of ten
# reconciles (see docs/baryon-higher-fock.md).
#
# The k=7 point of (c) is omitted: there the distribution is ~0 and the marker
# rests on the axis, so its centre reads 0.19 against a true value of 0.045 --
# a marker-radius offset, not a measurement of anything.
#
# Frame tops are FITTED by tools/pin_axes.py from the y-label positions:
#   (a) 20.81   (b) 26.17   (c) 12.62
#
# panel,sector,K_code,k,multiplier,q
fig4a,4,14,1,1e+04,17.440
fig4a,4,14,3,1e+04,10.055
fig4a,4,14,5,1e+04,2.320
fig4a,4,14,7,1e+04,3.720
fig4b,5,15,1,1e+03,8.088
fig4b,5,15,3,1e+03,5.043
fig4b,5,15,5,1e+03,6.484
fig4b,5,15,7,1e+03,2.440
fig4c,7,15,1,1e+07,5.988
fig4c,7,15,3,1e+07,5.611
fig4c,7,15,5,1e+07,2.861
