# FIG. 2(a) SU(3) B=0, 2K=10
# digitized from Phys. Rev. D 41, 3814 (1990), PDF page 3 at 600 dpi
# see the companion .json for full calibration provenance
x,y,filled,k,x_raw
0.016667,3.830166,1,,0.016667
0.016667,4.839667,1,,0.016667
0.016667,9.412114,1,,0.016667
0.016667,10.421615,1,,0.016667
0.016667,13.895487,1,,0.016667
0.016667,18.497625,1,,0.016667
0.016667,23.040380,1,,0.016667
0.016667,27.553444,1,,0.016667
0.016667,28.592637,1,,0.016667
0.016667,32.066508,1,,0.016667
0.016667,36.668646,1,,0.016667
0.016667,41.211401,1,,0.016667
0.016667,42.547506,1,,0.016667
0.016667,45.872922,1,,0.016667
0.016667,47.327791,1,,0.016667
0.033333,3.859857,1,,0.033333
0.033333,4.839667,1,,0.033333
0.033333,9.382423,1,,0.033333
0.033333,10.421615,1,,0.033333
0.033333,18.467933,1,,0.033333
0.033333,23.129454,1,,0.033333
0.033333,27.523753,1,,0.033333
0.033333,28.562945,1,,0.033333
0.033333,36.668646,1,,0.033333
0.033333,42.488124,1,,0.033333
0.033333,45.872922,1,,0.033333
0.033333,47.357482,1,,0.033333
0.050000,3.889549,1,,0.050000
0.050000,4.839667,1,,0.050000
0.050000,10.391924,1,,0.050000
0.050000,18.438242,1,,0.050000
0.050000,23.129454,1,,0.050000
0.050000,28.533254,1,,0.050000
0.050000,42.488124,1,,0.050000
0.050000,47.357482,1,,0.050000
0.066667,3.948931,1,,0.066667
0.066667,4.839667,1,,0.066667
0.066667,10.421615,1,,0.066667
0.066667,18.438242,1,,0.066667
0.066667,23.099762,1,,0.066667
0.066667,28.503563,1,,0.066667
0.066667,42.428741,1,,0.066667
0.066667,47.357482,1,,0.066667
0.083333,3.948931,1,,0.083333
0.083333,4.809976,1,,0.083333
0.083333,10.391924,1,,0.083333
0.083333,18.408551,1,,0.083333
0.083333,23.070071,1,,0.083333
0.083333,28.444181,1,,0.083333
0.083333,42.309976,1,,0.083333
0.083333,47.268409,1,,0.083333
0.100000,1.187648,1,,0.100000
0.100000,4.008314,1,,0.100000
0.100000,4.869359,1,,0.100000
0.100000,10.391924,1,,0.100000
0.100000,18.378860,1,,0.100000
0.100000,23.040380,1,,0.100000
0.100000,28.384798,1,,0.100000
0.100000,42.191211,1,,0.100000
0.100000,47.149644,1,,0.100000
0.100000,49.079572,1,,0.100000
0.116667,4.038005,1,,0.116667
0.116667,4.899050,1,,0.116667
0.116667,10.391924,1,,0.116667
0.116667,18.378860,1,,0.116667
0.116667,23.010689,1,,0.116667
0.116667,28.325416,1,,0.116667
0.116667,42.042755,1,,0.116667
0.116667,47.060570,1,,0.116667
0.133333,4.097387,1,,0.133333
0.133333,4.928741,1,,0.133333
0.133333,10.391924,1,,0.133333
0.133333,18.378860,1,,0.133333
0.133333,22.921615,1,,0.133333
0.133333,28.236342,1,,0.133333
0.133333,41.894299,1,,0.133333
0.133333,46.912114,1,,0.133333
0.150000,4.127078,1,,0.150000
0.150000,4.958432,1,,0.150000
0.150000,10.391924,1,,0.150000
0.150000,18.378860,1,,0.150000
0.150000,22.832542,1,,0.150000
0.150000,28.206651,1,,0.150000
0.150000,41.745843,1,,0.150000
0.150000,46.793349,1,,0.150000
0.166667,4.156770,1,,0.166667
0.166667,5.017815,1,,0.166667
0.166667,10.391924,1,,0.166667
0.166667,18.378860,1,,0.166667
0.166667,22.802850,1,,0.166667
0.166667,28.087886,1,,0.166667
0.166667,41.567696,1,,0.166667
0.166667,46.615202,1,,0.166667
0.183333,4.127078,1,,0.183333
0.183333,5.106888,1,,0.183333
0.183333,10.391924,1,,0.183333
0.183333,18.319477,1,,0.183333
0.183333,22.713777,1,,0.183333
0.183333,27.998812,1,,0.183333
0.183333,41.389549,1,,0.183333
0.183333,46.437055,1,,0.183333
0.200000,4.186461,1,,0.200000
0.200000,5.195962,1,,0.200000
0.200000,10.391924,1,,0.200000
0.200000,18.289786,1,,0.200000
0.200000,22.684086,1,,0.200000
0.200000,27.909739,1,,0.200000
0.200000,41.152019,1,,0.200000
0.200000,46.258907,1,,0.200000
0.200000,48.515439,1,,0.200000
0.216667,4.156770,1,,0.216667
0.216667,5.255344,1,,0.216667
0.216667,10.391924,1,,0.216667
0.216667,18.289786,1,,0.216667
0.216667,22.535629,1,,0.216667
0.216667,27.820665,1,,0.216667
0.216667,40.944181,1,,0.216667
0.216667,46.080760,1,,0.216667
0.233333,4.186461,1,,0.233333
0.233333,5.374109,1,,0.233333
0.233333,10.362233,1,,0.233333
0.233333,18.230404,1,,0.233333
0.233333,22.446556,1,,0.233333
0.233333,27.701900,1,,0.233333
0.233333,40.706651,1,,0.233333
0.233333,45.902613,1,,0.233333
0.250000,4.156770,1,,0.250000
0.250000,5.492874,1,,0.250000
0.250000,10.421615,1,,0.250000
0.250000,18.200713,1,,0.250000
0.250000,22.357482,1,,0.250000
0.250000,27.583135,1,,0.250000
0.250000,40.409739,1,,0.250000
0.250000,45.665083,1,,0.250000
0.266667,4.156770,1,,0.266667
0.266667,5.611639,1,,0.266667
0.266667,10.421615,1,,0.266667
0.266667,18.171021,1,,0.266667
0.266667,22.238717,1,,0.266667
0.266667,27.494062,1,,0.266667
0.266667,40.172209,1,,0.266667
0.266667,45.427553,1,,0.266667
0.283333,4.216152,1,,0.283333
0.283333,5.730404,1,,0.283333
0.283333,10.421615,1,,0.283333
0.283333,18.141330,1,,0.283333
0.283333,22.119952,1,,0.283333
0.283333,27.315914,1,,0.283333
0.283333,39.875297,1,,0.283333
0.283333,45.190024,1,,0.283333
0.300000,1.098575,1,,0.300000
0.300000,4.216152,1,,0.300000
0.300000,5.819477,1,,0.300000
0.300000,10.451306,1,,0.300000
0.300000,18.081948,1,,0.300000
0.300000,22.030879,1,,0.300000
0.300000,27.137767,1,,0.300000
0.300000,39.608076,1,,0.300000
0.300000,44.922803,1,,0.300000
0.300000,48.960808,1,,0.300000
0.316667,4.245843,1,,0.316667
0.316667,5.938242,1,,0.316667
0.316667,10.451306,1,,0.316667
0.316667,18.022565,1,,0.316667
0.316667,21.912114,1,,0.316667
0.316667,27.019002,1,,0.316667
0.316667,39.251781,1,,0.316667
0.316667,44.625891,1,,0.316667
0.333333,4.216152,1,,0.333333
0.333333,6.057007,1,,0.333333
0.333333,10.451306,1,,0.333333
0.333333,17.963183,1,,0.333333
0.333333,21.763658,1,,0.333333
0.333333,26.811164,1,,0.333333
0.333333,38.954869,1,,0.333333
0.333333,44.328979,1,,0.333333
0.350000,4.216152,1,,0.350000
0.350000,6.205463,1,,0.350000
0.350000,10.480998,1,,0.350000
0.350000,17.517815,1,,0.350000
0.350000,18.289786,1,,0.350000
0.350000,21.585511,1,,0.350000
0.350000,26.633017,1,,0.350000
0.350000,38.628266,1,,0.350000
0.350000,44.091449,1,,0.350000
0.366667,4.186461,1,,0.366667
0.366667,6.324228,1,,0.366667
0.366667,10.451306,1,,0.366667
0.366667,17.399050,1,,0.366667
0.366667,18.260095,1,,0.366667
0.366667,21.437055,1,,0.366667
0.366667,26.454869,1,,0.366667
0.366667,38.301663,1,,0.366667
0.366667,43.764846,1,,0.366667
0.383333,4.186461,1,,0.383333
0.383333,6.532067,1,,0.383333
0.383333,10.451306,1,,0.383333
0.383333,17.250594,1,,0.383333
0.383333,18.230404,1,,0.383333
0.383333,20.130641,1,,0.383333
0.383333,21.644893,1,,0.383333
0.383333,26.276722,1,,0.383333
0.383333,37.915677,1,,0.383333
0.383333,43.052257,1,,0.383333
0.383333,43.794537,1,,0.383333
0.400000,4.186461,1,,0.400000
0.400000,6.294537,1,,0.400000
0.400000,7.007126,1,,0.400000
0.400000,10.451306,1,,0.400000
0.400000,17.131829,1,,0.400000
0.400000,18.200713,1,,0.400000
0.400000,19.833729,1,,0.400000
0.400000,21.496437,1,,0.400000
