# FIG. 2(c) SU(3) B=2, 2K=22
# digitized from Phys. Rev. D 41, 3814 (1990), PDF page 3 at 600 dpi
# see the companion .json for full calibration provenance
x,y,filled,k,x_raw,kind
0.016667,10.485782,1,,0.016667,filled
0.016667,20.319905,1,,0.016667,filled
0.016667,30.272512,1,,0.016667,filled
0.016667,40.699052,1,,0.016667,filled
0.016667,50.473934,1,,0.016667,filled
0.016667,52.191943,1,,0.016667,filled
0.016667,54.028436,1,,0.016667,filled
0.016667,60.308057,1,,0.016667,filled
0.016667,61.670616,1,,0.016667,filled
0.016667,63.447867,1,,0.016667,filled
0.016667,66.172986,1,,0.016667,filled
0.016667,70.556872,1,,0.016667,filled
0.016667,78.317536,1,,0.016667,filled
0.016667,80.627962,1,,0.016667,filled
0.016667,87.796209,1,,0.016667,filled
0.016667,90.106635,1,,0.016667,filled
0.033333,20.319905,1,,0.033333,filled
0.033333,40.699052,1,,0.033333,filled
0.033333,50.355450,1,,0.033333,filled
0.033333,52.014218,1,,0.033333,filled
0.033333,53.969194,1,,0.033333,filled
0.033333,60.308057,1,,0.033333,filled
0.033333,62.677725,1,,0.033333,filled
0.033333,66.054502,1,,0.033333,filled
0.033333,78.199052,1,,0.033333,filled
0.033333,80.568720,1,,0.033333,filled
0.033333,87.796209,1,,0.033333,filled
0.033333,90.343602,1,,0.033333,filled
0.050000,40.699052,1,,0.050000,filled
0.050000,50.355450,1,,0.050000,filled
0.050000,52.014218,1,,0.050000,filled
0.050000,53.969194,1,,0.050000,filled
0.050000,61.492891,1,,0.050000,filled
0.050000,63.210900,1,,0.050000,filled
0.050000,65.936019,1,,0.050000,filled
0.050000,77.428910,1,,0.050000,filled
0.050000,78.850711,1,,0.050000,filled
0.050000,87.677725,1,,0.050000,filled
0.050000,90.284360,1,,0.050000,filled
0.066667,40.758294,1,,0.066667,filled
0.066667,51.303318,1,,0.066667,filled
0.066667,53.909953,1,,0.066667,filled
0.066667,62.381517,1,,0.066667,filled
0.066667,65.876777,1,,0.066667,filled
0.066667,77.369668,1,,0.066667,filled
0.066667,78.791469,1,,0.066667,filled
0.066667,86.907583,1,,0.066667,filled
0.066667,88.210900,1,,0.066667,filled
0.066667,90.165877,1,,0.066667,filled
0.083333,40.639810,1,,0.083333,filled
0.083333,51.066351,1,,0.083333,filled
0.083333,53.850711,1,,0.083333,filled
0.083333,62.263033,1,,0.083333,filled
0.083333,65.817536,1,,0.083333,filled
0.083333,77.132701,1,,0.083333,filled
0.083333,78.672986,1,,0.083333,filled
0.083333,87.440758,1,,0.083333,filled
0.083333,89.988152,1,,0.083333,filled
0.100000,2.725118,1,,0.100000,filled
0.100000,40.639810,1,,0.100000,filled
0.100000,51.066351,1,,0.100000,filled
0.100000,53.791469,1,,0.100000,filled
0.100000,60.900474,1,,0.100000,filled
0.100000,62.736967,1,,0.100000,filled
0.100000,65.639810,1,,0.100000,filled
0.100000,76.954976,1,,0.100000,filled
0.100000,78.613744,1,,0.100000,filled
0.100000,86.552133,1,,0.100000,filled
0.100000,87.914692,1,,0.100000,filled
0.100000,89.751185,1,,0.100000,filled
0.116667,40.580569,1,,0.116667,filled
0.116667,50.888626,1,,0.116667,filled
0.116667,53.732227,1,,0.116667,filled
0.116667,60.781991,1,,0.116667,filled
0.116667,62.618483,1,,0.116667,filled
0.116667,65.462085,1,,0.116667,filled
0.116667,76.599526,1,,0.116667,filled
0.116667,78.376777,1,,0.116667,filled
0.116667,86.255924,1,,0.116667,filled
0.116667,87.618483,1,,0.116667,filled
0.116667,89.514218,1,,0.116667,filled
0.133333,40.402844,1,,0.133333,filled
0.133333,49.822275,1,,0.133333,filled
0.133333,51.481043,1,,0.133333,filled
0.133333,53.672986,1,,0.133333,filled
0.133333,61.729858,1,,0.133333,filled
0.133333,65.284360,1,,0.133333,filled
0.133333,76.540284,1,,0.133333,filled
0.133333,78.258294,1,,0.133333,filled
0.133333,86.018957,1,,0.133333,filled
0.133333,87.322275,1,,0.133333,filled
0.133333,89.218009,1,,0.133333,filled
0.150000,40.462085,1,,0.150000,filled
0.150000,49.644550,1,,0.150000,filled
0.150000,51.481043,1,,0.150000,filled
0.150000,53.613744,1,,0.150000,filled
0.150000,61.552133,1,,0.150000,filled
0.150000,65.225118,1,,0.150000,filled
0.150000,76.184834,1,,0.150000,filled
0.150000,77.962085,1,,0.150000,filled
0.150000,85.663507,1,,0.150000,filled
0.150000,87.144550,1,,0.150000,filled
0.150000,88.921801,1,,0.150000,filled
0.166667,40.402844,1,,0.166667,filled
0.166667,49.466825,1,,0.166667,filled
0.166667,51.244076,1,,0.166667,filled
0.166667,53.495261,1,,0.166667,filled
0.166667,60.011848,1,,0.166667,filled
0.166667,61.966825,1,,0.166667,filled
0.166667,64.869668,1,,0.166667,filled
0.166667,75.829384,1,,0.166667,filled
0.166667,77.725118,1,,0.166667,filled
0.166667,86.078199,1,,0.166667,filled
0.166667,88.566351,1,,0.166667,filled
0.183333,40.284360,1,,0.183333,filled
0.183333,49.229858,1,,0.183333,filled
0.183333,51.125592,1,,0.183333,filled
0.183333,53.258294,1,,0.183333,filled
0.183333,59.656398,1,,0.183333,filled
0.183333,61.789100,1,,0.183333,filled
0.183333,64.573460,1,,0.183333,filled
0.183333,75.355450,1,,0.183333,filled
0.183333,77.428910,1,,0.183333,filled
0.183333,84.952607,1,,0.183333,filled
0.183333,86.433649,1,,0.183333,filled
0.183333,88.092417,1,,0.183333,filled
0.200000,40.165877,1,,0.200000,filled
0.200000,49.052133,1,,0.200000,filled
0.200000,51.007109,1,,0.200000,filled
0.200000,53.199052,1,,0.200000,filled
0.200000,59.360190,1,,0.200000,filled
0.200000,61.433649,1,,0.200000,filled
0.200000,64.336493,1,,0.200000,filled
0.200000,74.940758,1,,0.200000,filled
0.200000,77.191943,1,,0.200000,filled
0.200000,84.537915,1,,0.200000,filled
0.200000,86.018957,1,,0.200000,filled
0.200000,87.796209,1,,0.200000,filled
0.216667,40.047393,1,,0.216667,filled
0.216667,48.815166,1,,0.216667,filled
0.216667,50.888626,1,,0.216667,filled
0.216667,53.080569,1,,0.216667,filled
0.216667,59.004739,1,,0.216667,filled
0.216667,61.196682,1,,0.216667,filled
0.216667,64.040284,1,,0.216667,filled
0.216667,74.466825,1,,0.216667,filled
0.216667,76.954976,1,,0.216667,filled
0.216667,84.893365,1,,0.216667,filled
0.216667,87.322275,1,,0.216667,filled
0.233333,39.928910,1,,0.233333,filled
0.233333,48.578199,1,,0.233333,filled
0.233333,50.710900,1,,0.233333,filled
0.233333,52.902844,1,,0.233333,filled
0.233333,58.590047,1,,0.233333,filled
0.233333,60.841232,1,,0.233333,filled
0.233333,63.625592,1,,0.233333,filled
0.233333,73.933649,1,,0.233333,filled
0.233333,76.599526,1,,0.233333,filled
0.233333,84.419431,1,,0.233333,filled
0.233333,86.966825,1,,0.233333,filled
0.250000,39.751185,1,,0.250000,filled
0.250000,48.222749,1,,0.250000,filled
0.250000,50.473934,1,,0.250000,filled
0.250000,52.725118,1,,0.250000,filled
0.250000,58.234597,1,,0.250000,filled
0.250000,60.604265,1,,0.250000,filled
0.250000,63.270142,1,,0.250000,filled
0.250000,73.400474,1,,0.250000,filled
0.250000,76.184834,1,,0.250000,filled
0.250000,83.827014,1,,0.250000,filled
0.250000,86.433649,1,,0.250000,filled
0.266667,39.632701,1,,0.266667,filled
0.266667,47.808057,1,,0.266667,filled
0.266667,50.296209,1,,0.266667,filled
0.266667,52.488152,1,,0.266667,filled
0.266667,57.819905,1,,0.266667,filled
0.266667,59.478673,1,,0.266667,filled
0.266667,61.018957,1,,0.266667,filled
0.266667,62.796209,1,,0.266667,filled
0.266667,72.867299,1,,0.266667,filled
0.266667,75.770142,1,,0.266667,filled
0.266667,83.353081,1,,0.266667,filled
0.266667,86.018957,1,,0.266667,filled
0.283333,38.862559,1,,0.283333,filled
0.283333,40.165877,1,,0.283333,filled
0.283333,47.511848,1,,0.283333,filled
0.283333,50.118483,1,,0.283333,filled
0.283333,52.251185,1,,0.283333,filled
0.283333,57.227488,1,,0.283333,filled
0.283333,59.182464,1,,0.283333,filled
0.283333,60.781991,1,,0.283333,filled
0.283333,62.263033,1,,0.283333,filled
0.283333,72.334123,1,,0.283333,filled
0.283333,75.355450,1,,0.283333,filled
0.283333,82.819905,1,,0.283333,filled
0.283333,85.545024,1,,0.283333,filled
0.300000,2.665877,1,,0.300000,filled
0.300000,38.566351,1,,0.300000,filled
0.300000,39.988152,1,,0.300000,filled
0.300000,47.156398,1,,0.300000,filled
0.300000,50.059242,1,,0.300000,filled
0.300000,52.014218,1,,0.300000,filled
