# FIG. 3(a) SU(3) meson valence; K not stated
# digitized from Phys. Rev. D 41, 3814 (1990), PDF page 4 at 600 dpi
# see the companion .json for full calibration provenance
x,y,filled,k,x_raw,kind
0.071429,0.960617,0,1,0.072699,open
0.071429,0.025447,1,1,0.073970,filled
0.214286,0.413511,1,3,0.209203,filled
0.214286,1.024234,0,3,0.210474,open
0.357143,1.755830,1,5,0.359684,filled
0.357143,1.049681,0,5,0.360955,open
0.500000,2.741894,1,7,0.498729,filled
0.500000,1.056043,0,7,0.498729,open
0.642857,1.049681,0,9,0.635233,open
0.642857,1.768553,1,9,0.636504,filled
0.785714,1.030596,0,11,0.784444,open
0.785714,0.438957,1,11,0.790797,filled
0.928571,0.986064,0,13,0.923489,open
0.928571,0.038170,1,13,0.929842,filled
