# FIG. 3(b) SU(3) baryon valence; K not stated
# digitized from Phys. Rev. D 41, 3814 (1990), PDF page 4 at 600 dpi
# see the companion .json for full calibration provenance
x,y,filled,k,x_raw,kind
0.066667,0.291368,1,1,0.064122,filled
0.066667,4.807567,0,1,0.073028,open
0.200000,5.535986,1,3,0.205089,filled
0.200000,5.026092,0,3,0.210178,open
0.333333,4.613321,0,5,0.330789,open
0.333333,12.116039,1,5,0.334606,filled
0.466667,4.686163,1,7,0.465394,filled
0.466667,3.714938,0,7,0.465394,open
0.600000,2.403783,0,9,0.596183,open
0.600000,0.461332,1,9,0.597455,filled
0.733333,1.311155,0,11,0.729517,open
0.733333,0.097123,1,11,0.729517,filled
0.866667,0.072842,1,13,0.865394,filled
0.866667,0.461332,0,13,0.866667,open
