# FIG. 4(a) meson, one extra qqbar pair (x10^4/10^2)
# digitized from Phys. Rev. D 41, 3814 (1990), PDF page 4 at 600 dpi
# see the companion .json for full calibration provenance
x,y,filled,k,x_raw,kind
0.071429,17.476004,1,1,0.070153,filled
0.071429,7.986937,0,1,0.072704,open
0.214286,2.308151,0,3,0.210459,open
0.214286,10.111901,1,3,0.214286,filled
0.357143,2.418063,1,5,0.357143,filled
0.357143,0.842658,0,5,0.358418,open
0.500000,3.773644,1,7,0.497449,filled
0.500000,0.915933,0,7,0.497449,open
0.642857,1.245669,0,9,0.636480,open
0.642857,4.469754,1,9,0.639031,filled
0.785714,1.282306,0,11,0.785714,open
0.928571,0.000000,0,13,0.924745,open
0.928571,0.000000,1,13,0.924745,filled
