# FIG. 4(b) baryon, one extra pair, incl. antiquarks
# digitized from Phys. Rev. D 41, 3814 (1990), PDF page 4 at 600 dpi
# see the companion .json for full calibration provenance
x,y,filled,k,x_raw,kind
0.066667,8.215626,1,1,0.062850,filled
0.066667,4.846296,0,1,0.063613,triangle_down
0.066667,7.292522,0,1,0.064122,open
0.066667,7.269444,0,1,0.066158,triangle
0.200000,5.354004,1,3,0.191094,filled
0.200000,0.784638,0,3,0.201272,open
0.200000,4.569365,0,3,0.201654,triangle
0.333333,0.184621,0,5,0.328880,triangle_down
0.333333,0.184621,1,5,0.328880,filled
0.333333,0.184621,0,5,0.328880,triangle
0.466667,0.184621,0,7,0.461578,open
0.466667,0.184621,1,7,0.461578,filled
0.466667,0.184621,0,7,0.461578,triangle
0.466667,0.184621,0,7,0.461578,triangle_down
0.600000,0.046155,1,9,0.591094,filled
0.600000,0.046155,0,9,0.591094,open
0.600000,0.046155,0,9,0.591094,triangle
0.600000,0.046155,0,9,0.591094,triangle_down
0.733333,0.323086,0,11,0.728372,triangle_down
0.733333,0.323086,0,11,0.729517,open
0.733333,-0.046155,1,11,0.730789,filled
0.733333,-0.046155,0,11,0.730789,triangle
0.866667,-0.092310,1,13,0.861578,filled
0.866667,-0.092310,0,13,0.861578,triangle
0.866667,0.138466,0,13,0.862850,open
0.866667,0.184621,0,13,0.863232,triangle_down
