# FIG. 4(c) baryon, two extra pairs
# digitized from Phys. Rev. D 41, 3814 (1990), PDF page 4 at 600 dpi
# see the companion .json for full calibration provenance
x,y,filled,k,x_raw,kind
0.066667,5.357965,1,1,0.057749,filled
0.066667,10.029579,0,1,0.069214,open
0.200000,3.918842,1,3,0.198726,filled
0.200000,5.933614,0,3,0.201274,open
0.333333,2.745404,1,5,0.325690,filled
0.333333,1.771228,0,5,0.332059,open
0.466667,0.066421,1,7,0.467941,filled
0.466667,1.837649,0,7,0.469214,open
0.600000,0.000000,0,9,0.596178,open
0.600000,0.000000,1,9,0.596178,filled
0.733333,0.066421,0,11,0.726964,open
0.733333,0.066421,1,11,0.726964,filled
0.866667,0.000000,0,13,0.864119,open
0.866667,0.000000,1,13,0.864119,filled
