# FIG. 5(a) 1st meson state, m/g=1.6, 2K=24
# digitized from Phys. Rev. D 41, 3814 (1990), PDF page 4 at 600 dpi
# see the companion .json for full calibration provenance
x,y,filled,k,x_raw,kind
0.041667,1.307067,0,1,0.044173,open
0.041667,0.012629,1,1,0.045426,filled
0.125000,0.063143,1,3,0.122494,filled
0.125000,1.332325,0,3,0.127506,open
0.208333,0.814549,0,5,0.209586,open
0.208333,0.416746,1,5,0.212093,filled
0.291667,1.086066,1,7,0.292920,filled
0.291667,0.372546,0,7,0.294173,open
0.375000,1.925872,1,9,0.376253,filled
0.375000,0.164173,0,9,0.378759,open
0.458333,2.582563,1,11,0.458333,filled
0.458333,0.195744,0,11,0.462093,open
0.541667,2.582563,1,13,0.544173,filled
0.541667,0.334660,0,13,0.544173,open
0.625000,1.938501,1,15,0.622494,filled
0.625000,0.334660,0,15,0.628759,open
0.708333,1.073437,1,17,0.707080,filled
0.708333,0.233630,0,17,0.709586,open
0.791667,0.410432,1,19,0.791667,filled
0.791667,0.126287,0,19,0.792920,open
0.875000,0.101029,1,21,0.873747,filled
0.875000,0.025257,0,21,0.878759,open
0.958333,0.018943,0,23,0.958333,open
0.958333,0.018943,1,23,0.958333,filled
