# FIG. 5(b) 2nd meson state, m/g=1.6, 2K=24
# digitized from Phys. Rev. D 41, 3814 (1990), PDF page 4 at 600 dpi
# see the companion .json for full calibration provenance
x,y,filled,k,x_raw,kind
0.041667,0.554325,0,1,0.039157,open
0.041667,0.012457,1,1,0.042921,filled
0.125000,0.647751,0,3,0.123745,open
0.125000,0.205536,1,3,0.123745,filled
0.208333,1.083737,1,5,0.207079,filled
0.208333,0.573010,0,5,0.208333,open
0.291667,2.310727,1,7,0.290412,filled
0.291667,0.579239,0,7,0.292921,open
0.375000,1.999308,1,9,0.372491,filled
0.375000,0.529412,0,9,0.376255,open
0.458333,0.361246,1,11,0.457079,filled
0.458333,0.292734,0,11,0.463352,open
0.541667,0.348789,1,13,0.539157,filled
0.541667,0.068512,0,13,0.542921,open
0.625000,2.005536,1,15,0.622491,filled
0.625000,0.031142,0,15,0.626255,open
0.708333,2.323183,1,17,0.704569,filled
0.708333,0.062284,0,17,0.708333,open
0.791667,1.077509,1,19,0.791667,filled
0.791667,0.056055,0,19,0.792921,open
0.875000,0.224221,1,21,0.873745,filled
0.875000,0.018685,0,21,0.875000,open
0.958333,0.043599,1,23,0.954569,filled
0.958333,0.006228,0,23,0.955824,open
