# FIG. 5(c) 3rd meson state, m/g=1.6, 2K=24
# digitized from Phys. Rev. D 41, 3814 (1990), PDF page 4 at 600 dpi
# see the companion .json for full calibration provenance
x,y,filled,k,x_raw,kind
0.041667,1.049506,0,1,0.039157,open
0.041667,0.018853,1,1,0.039157,filled
0.125000,0.779274,0,3,0.123745,open
0.125000,0.395921,1,3,0.125000,filled
0.208333,1.728229,1,5,0.207079,filled
0.208333,0.483904,0,5,0.210843,open
0.291667,1.696806,1,7,0.291667,filled
0.291667,0.477620,0,7,0.292921,open
0.375000,0.245094,0,9,0.376255,open
0.375000,0.006284,1,9,0.377509,filled
0.458333,2.180710,1,11,0.457079,filled
0.458333,0.276517,0,11,0.459588,open
0.541667,2.193279,1,13,0.539157,filled
0.541667,0.477620,0,13,0.541667,open
0.625000,0.157112,0,15,0.623745,open
0.625000,0.012569,1,15,0.625000,filled
0.708333,1.684237,1,17,0.704569,filled
0.708333,1.684237,0,17,0.704569,open
0.791667,1.721944,1,19,0.791667,filled
0.791667,0.062845,0,19,0.791667,open
0.875000,0.395921,1,21,0.872491,filled
0.875000,0.025138,0,21,0.872491,open
0.958333,0.018853,0,23,0.950805,open
0.958333,0.018853,1,23,0.950805,filled
