# FIG. 5(d) 11th meson state, m/g=1.6, 2K=24
# digitized from Phys. Rev. D 41, 3814 (1990), PDF page 4 at 600 dpi
# see the companion .json for full calibration provenance
x,y,filled,k,x_raw,kind
0.041667,0.062609,0,1,0.042921,open
0.041667,11.937391,1,1,0.044176,filled
0.125000,2.650435,0,3,0.123745,open
0.125000,0.104348,1,3,0.123745,filled
0.208333,9.182609,0,5,0.207079,open
0.208333,1.314783,1,5,0.209588,filled
0.291667,9.099130,0,7,0.290412,open
0.291667,3.088696,1,7,0.292921,filled
0.375000,2.170435,1,9,0.372491,filled
0.375000,2.566957,0,9,0.373745,open
0.458333,0.208696,0,11,0.457079,open
0.458333,0.480000,1,11,0.458333,filled
0.541667,0.062609,0,13,0.541667,open
0.541667,0.375652,1,13,0.542921,filled
0.625000,2.253913,1,15,0.625000,filled
0.625000,0.062609,0,15,0.626255,open
0.708333,3.109565,1,17,0.705824,filled
0.708333,0.062609,0,17,0.705824,open
0.791667,1.293913,1,19,0.789157,filled
0.791667,0.083478,0,19,0.789157,open
0.875000,0.125217,1,21,0.875000,filled
0.875000,11.958261,0,21,0.876255,open
0.958333,11.916522,0,23,0.957079,open
