# FIG. 6(a) 1st baryon state, m/g=1.6, 2K=21
# digitized from Phys. Rev. D 41, 3814 (1990), PDF page 5 at 600 dpi
# see the companion .json for full calibration provenance
x,y,filled,k,x_raw,kind
0.047619,8.645193,0,1,0.047619,open
0.047619,0.108404,1,1,0.051572,filled
0.142857,8.130275,0,3,0.146810,open
0.142857,2.032569,1,3,0.146810,filled
0.238095,8.428385,1,5,0.236778,filled
0.238095,1.084037,0,5,0.240730,open
0.333333,11.653394,1,7,0.328063,filled
0.333333,1.761560,0,7,0.333333,open
0.428571,7.154642,1,9,0.428571,filled
0.428571,4.905266,0,9,0.436477,open
0.523810,2.222275,1,11,0.522492,filled
0.523810,0.623321,0,11,0.523810,open
0.619048,0.271009,1,13,0.608507,filled
0.619048,0.216807,0,13,0.632223,open
0.714286,0.406514,0,15,0.712968,open
0.714286,0.000000,1,15,0.712968,filled
0.809524,0.054202,1,17,0.808206,filled
0.809524,0.054202,0,17,0.808206,open
0.904762,0.027101,1,19,0.902127,filled
0.904762,0.027101,0,19,0.902127,open
