# FIG. 6(b) 2nd baryon state, m/g=1.6, 2K=21
# digitized from Phys. Rev. D 41, 3814 (1990), PDF page 5 at 600 dpi
# see the companion .json for full calibration provenance
x,y,filled,k,x_raw,kind
0.047619,2.727185,0,1,0.048938,open
0.047619,0.135009,1,1,0.048938,filled
0.142857,3.375229,0,3,0.146815,open
0.142857,3.969269,1,3,0.148134,filled
0.238095,8.100548,1,5,0.236776,filled
0.238095,0.162011,0,5,0.242053,open
0.333333,12.528848,1,7,0.329376,filled
0.333333,0.216015,0,7,0.333333,open
0.428571,0.837057,1,9,0.427252,filled
0.428571,1.836124,0,9,0.431210,open
0.523810,3.942267,1,11,0.525129,filled
0.523810,0.162011,0,11,0.525129,open
0.619048,2.133144,1,13,0.616409,filled
0.619048,0.081005,0,13,0.617728,open
0.714286,0.270018,0,15,0.714286,open
0.714286,0.270018,1,15,0.714286,filled
0.809524,0.054004,0,17,0.808205,open
0.809524,0.054004,1,17,0.808205,filled
0.904762,0.054004,0,19,0.904762,open
0.904762,0.054004,1,19,0.904762,filled
