# FIG. 6(c) 3rd baryon state, m/g=1.6, 2K=21
# digitized from Phys. Rev. D 41, 3814 (1990), PDF page 5 at 600 dpi
# see the companion .json for full calibration provenance
x,y,filled,k,x_raw,kind
0.047619,3.934574,0,1,0.046302,open
0.047619,0.079220,1,1,0.048937,filled
0.142857,4.621143,1,3,0.142857,filled
0.142857,4.621143,0,3,0.142857,open
0.238095,4.700363,1,5,0.238095,filled
0.238095,0.580944,0,5,0.243365,open
0.333333,0.739383,0,7,0.330698,open
0.333333,10.932305,1,7,0.333333,filled
0.428571,8.397278,1,9,0.427254,filled
0.523810,1.293920,1,11,0.522492,filled
0.523810,0.026407,0,11,0.531715,open
0.619048,1.029855,1,13,0.617730,filled
0.619048,0.052813,0,13,0.617730,open
0.714286,0.052813,0,15,0.714286,open
0.714286,0.052813,1,15,0.714286,filled
0.809524,0.000000,0,17,0.812159,open
0.809524,0.000000,1,17,0.812159,filled
0.904762,-0.026407,0,19,0.906079,open
0.904762,-0.026407,1,19,0.906079,filled
