# FIG. 6(d) 1st B=2 state, m/g=1.6, 2K=24
# digitized from Phys. Rev. D 41, 3814 (1990), PDF page 5 at 600 dpi
# see the companion .json for full calibration provenance
x,y,filled,k,x_raw,kind
0.041667,0.349727,1,1,0.041667,filled
0.041667,16.218579,0,1,0.044605,triangle
0.041667,18.360656,0,1,0.044825,open
0.125000,35.584699,1,3,0.125789,filled
0.125000,19.497268,0,3,0.126579,open
0.125000,2.360656,0,3,0.129474,triangle
0.208333,35.322404,1,5,0.209123,filled
0.208333,0.262295,0,5,0.210395,triangle
0.208333,26.054645,0,5,0.215439,open
0.291667,0.000000,0,7,0.291711,triangle
0.291667,1.049180,1,7,0.293246,filled
0.291667,0.174863,0,7,0.293246,open
0.375000,-0.306011,0,9,0.375789,triangle
0.375000,0.000000,0,9,0.376579,open
0.375000,0.000000,1,9,0.376579,filled
0.458333,-0.131148,0,11,0.456711,triangle
0.458333,0.087432,0,11,0.456754,open
0.458333,0.087432,1,11,0.456754,filled
0.541667,-0.262295,0,13,0.542368,triangle
0.541667,-0.087432,0,13,0.542456,open
0.541667,-0.087432,1,13,0.542456,filled
