# THESIS Fig 12(a) = article Fig 6(a): 1st baryon, 2K=21
# digitized from Phys. Rev. D 41, 3814 (1990), PDF page 82 at 600 dpi
# see the companion .json for full calibration provenance
x,y,filled,k,x_raw,kind
0.047619,0.128256,1,1,0.049833,filled
0.142857,2.080603,1,3,0.139167,filled
0.142857,2.080603,0,3,0.139167,open
0.238095,8.422168,1,5,0.238833,filled
0.238095,8.422168,0,5,0.238833,open
0.333333,11.642828,1,7,0.331857,filled
0.333333,11.642828,0,7,0.331857,open
0.428571,7.111103,1,9,0.428571,filled
0.428571,7.111103,0,9,0.428571,open
0.523810,2.265862,1,11,0.519381,filled
0.523810,2.265862,0,11,0.519381,open
0.619048,0.399020,0,13,0.603549,open
0.619048,0.185259,1,13,0.613144,filled
0.714286,0.413270,1,15,0.709120,filled
0.809524,0.057003,1,17,0.802144,filled
0.809524,0.057003,0,17,0.802144,open
0.904762,0.071254,1,19,0.896644,filled
0.904762,0.071254,0,19,0.896644,open
