# THESIS Fig 12(b) = article Fig 6(b): 2nd baryon, 2K=21
# digitized from Phys. Rev. D 41, 3814 (1990), PDF page 82 at 600 dpi
# see the companion .json for full calibration provenance
x,y,filled,k,x_raw,kind
0.047619,0.114059,1,1,0.044671,filled
0.047619,0.114059,0,1,0.044671,open
0.142857,3.493046,1,3,0.142120,filled
0.142857,3.493046,0,3,0.142120,open
0.238095,0.156831,1,5,0.237358,filled
0.238095,0.156831,0,5,0.237358,open
0.333333,0.128316,1,7,0.329649,filled
0.333333,0.128316,0,7,0.329649,open
0.428571,1.910482,1,9,0.422676,filled
0.428571,1.910482,0,9,0.422676,open
0.523810,0.142573,1,11,0.518651,filled
0.523810,0.142573,0,11,0.518651,open
0.619048,0.085544,1,13,0.616837,filled
0.619048,0.085544,0,13,0.616837,open
0.714286,0.114059,1,15,0.712075,filled
0.714286,0.114059,0,15,0.712075,open
0.809524,0.042772,1,17,0.801418,filled
0.809524,0.042772,0,17,0.801418,open
0.904762,0.057029,1,19,0.898130,filled
0.904762,0.057029,0,19,0.898130,open
