# THESIS Fig 12(c) = article Fig 6(c): 3rd baryon, 2K=21
# digitized from Phys. Rev. D 41, 3814 (1990), PDF page 82 at 600 dpi
# see the companion .json for full calibration provenance
x,y,filled,k,x_raw,kind
0.047619,0.114070,1,1,0.043191,filled
0.047619,0.114070,0,1,0.043191,open
0.142857,5.061851,1,3,0.143595,filled
0.142857,5.061851,0,3,0.143595,open
0.238095,4.862229,1,5,0.238833,filled
0.238095,4.862229,0,5,0.238833,open
0.333333,11.079037,1,7,0.334809,filled
0.333333,11.079037,0,7,0.334809,open
0.428571,8.369877,1,9,0.430047,filled
0.428571,8.369877,0,9,0.430047,open
0.523810,0.142587,1,11,0.518643,filled
0.619048,0.057035,1,13,0.615358,filled
0.619048,0.057035,0,13,0.615358,open
0.714286,0.099811,1,15,0.706906,filled
0.714286,0.099811,0,15,0.706906,open
0.809524,0.042776,1,17,0.802144,filled
0.809524,0.042776,0,17,0.802144,open
0.904762,0.042776,1,19,0.898120,filled
0.904762,0.042776,0,19,0.898120,open
