# THESIS Fig 13(a) = article Fig 6(d): lightest B=2 state, 2K=24
# digitized from Phys. Rev. D 41, 3814 (1990), PDF page 83 at 600 dpi
# see the companion .json for full calibration provenance
x,y,filled,k,x_raw,kind
0.041667,0.255919,1,1,0.039453,filled
0.041667,0.255919,0,1,0.039453,open
0.125000,22.350254,1,3,0.125000,filled
0.208333,0.170613,1,5,0.206119,filled
0.208333,0.170613,0,5,0.206119,open
0.291667,0.142177,1,7,0.288124,filled
0.291667,0.142177,0,7,0.288124,open
0.375000,0.113742,1,9,0.370572,filled
0.375000,0.113742,0,9,0.370572,open
0.458333,0.113742,1,11,0.454348,filled
0.458333,0.113742,0,11,0.454348,open
0.541667,0.113742,1,13,0.537681,filled
0.541667,0.113742,0,13,0.537681,open
