# THESIS Fig 18(a) = article Fig 4(b): five-quark contribution to the lightest N=3 baryon, 2K=15
# digitized from Phys. Rev. D 41, 3814 (1990), PDF page 89 at 600 dpi
# see the companion .json for full calibration provenance
x,y,filled,k,x_raw,kind
0.066667,6.411133,1,1,0.051771,filled
0.066667,4.641117,1,1,0.058453,filled
0.066667,7.935190,1,1,0.064266,filled
0.066667,4.857785,0,1,0.065946,open
0.066667,7.105107,1,1,0.066690,filled
0.200000,0.638995,1,3,0.195845,filled
0.200000,4.766698,1,3,0.197754,filled
0.200000,11.006898,1,3,0.200655,filled
0.200000,10.658384,1,3,0.200804,filled
0.200000,10.830853,0,3,0.201124,open
0.200000,0.970771,0,3,0.201960,open
0.333333,6.612857,1,5,0.326186,filled
0.333333,0.218615,0,5,0.330406,open
0.333333,0.624808,1,5,0.331506,filled
0.466667,5.053949,1,7,0.461274,filled
0.466667,2.783601,1,7,0.463764,filled
0.466667,0.203924,1,7,0.464065,filled
0.466667,5.110297,0,7,0.466074,open
0.600000,0.228531,1,9,0.594621,filled
0.600000,2.916956,0,9,0.594687,open
0.733333,0.931383,0,11,0.727517,open
