# THESIS Fig 4(a) = article Fig 2(a): SU(3) B=0, 2K=10
# digitized from K. Hornbostel, SLAC-333 (1988), PDF page 64 at 600 dpi
# see the companion .json for full calibration provenance
x,y,filled,k,x_raw,kind
0.016667,0.765217,1,,0.016667,filled
0.016667,9.039130,1,,0.016667,filled
0.016667,11.526087,1,,0.016667,filled
0.016667,27.452174,1,,0.016667,filled
0.016667,39.552174,1,,0.016667,filled
0.016667,45.578261,1,,0.016667,filled
0.016667,49.213043,1,,0.016667,filled
0.016667,52.704348,1,,0.016667,filled
0.016667,54.282609,1,,0.016667,filled
0.033333,0.669565,1,,0.033333,filled
0.033333,8.943478,1,,0.033333,filled
0.033333,11.334783,1,,0.033333,filled
0.033333,27.213043,1,,0.033333,filled
0.033333,39.360870,1,,0.033333,filled
0.033333,45.530435,1,,0.033333,filled
0.033333,49.165217,1,,0.033333,filled
0.033333,54.234783,1,,0.033333,filled
0.050000,0.765217,1,,0.050000,filled
0.050000,11.239130,1,,0.050000,filled
0.050000,39.360870,1,,0.050000,filled
0.050000,48.926087,1,,0.050000,filled
0.050000,54.282609,1,,0.050000,filled
0.066667,0.765217,1,,0.066667,filled
0.066667,11.239130,1,,0.066667,filled
0.066667,39.265217,1,,0.066667,filled
0.066667,48.830435,1,,0.066667,filled
0.066667,54.186957,1,,0.066667,filled
0.083333,0.765217,1,,0.083333,filled
0.083333,11.239130,1,,0.083333,filled
0.083333,39.169565,1,,0.083333,filled
0.083333,48.734783,1,,0.083333,filled
0.083333,53.756522,1,,0.083333,filled
0.100000,0.765217,1,,0.100000,filled
0.100000,11.143478,1,,0.100000,filled
0.100000,38.978261,1,,0.100000,filled
0.100000,48.734783,1,,0.100000,filled
0.100000,54.282609,1,,0.100000,filled
0.116667,0.765217,1,,0.116667,filled
0.116667,11.047826,1,,0.116667,filled
0.116667,38.691304,1,,0.116667,filled
0.116667,48.543478,1,,0.116667,filled
0.116667,54.282609,1,,0.116667,filled
0.133333,0.860870,1,,0.133333,filled
0.133333,11.239130,1,,0.133333,filled
0.133333,38.691304,1,,0.133333,filled
0.133333,48.352174,1,,0.133333,filled
0.133333,54.378261,1,,0.133333,filled
0.150000,0.860870,1,,0.150000,filled
0.150000,11.047826,1,,0.150000,filled
0.150000,38.500000,1,,0.150000,filled
0.150000,48.160870,1,,0.150000,filled
0.150000,54.378261,1,,0.150000,filled
0.166667,0.765217,1,,0.166667,filled
0.166667,10.473913,1,,0.166667,filled
0.166667,37.926087,1,,0.166667,filled
0.166667,47.778261,1,,0.166667,filled
0.166667,54.282609,1,,0.166667,filled
0.183333,0.765217,1,,0.183333,filled
0.183333,10.473913,1,,0.183333,filled
0.183333,37.591304,1,,0.183333,filled
0.183333,47.395652,1,,0.183333,filled
0.183333,54.378261,1,,0.183333,filled
0.200000,0.765217,1,,0.200000,filled
0.200000,10.282609,1,,0.200000,filled
0.200000,37.400000,1,,0.200000,filled
0.200000,47.108696,1,,0.200000,filled
0.200000,52.321739,1,,0.200000,filled
0.216667,10.091304,1,,0.216667,filled
0.216667,36.969565,1,,0.216667,filled
0.216667,46.821739,1,,0.216667,filled
0.216667,54.378261,1,,0.216667,filled
0.233333,9.900000,1,,0.233333,filled
0.233333,36.682609,1,,0.233333,filled
0.233333,46.439130,1,,0.233333,filled
0.233333,54.378261,1,,0.233333,filled
0.250000,9.421739,1,,0.250000,filled
0.250000,36.013043,1,,0.250000,filled
0.250000,45.960870,1,,0.250000,filled
0.250000,54.378261,1,,0.250000,filled
0.266667,9.326087,1,,0.266667,filled
0.266667,35.630435,1,,0.266667,filled
0.266667,45.578261,1,,0.266667,filled
0.266667,54.378261,1,,0.266667,filled
0.283333,9.134783,1,,0.283333,filled
0.283333,35.056522,1,,0.283333,filled
0.283333,44.908696,1,,0.283333,filled
0.283333,53.900000,1,,0.283333,filled
0.300000,8.656522,1,,0.300000,filled
0.300000,34.243478,1,,0.300000,filled
0.300000,44.478261,1,,0.300000,filled
0.300000,54.282609,1,,0.300000,filled
0.316667,8.226087,1,,0.316667,filled
0.316667,33.765217,1,,0.316667,filled
0.316667,43.856522,1,,0.316667,filled
0.316667,54.282609,1,,0.316667,filled
0.333333,7.986957,1,,0.333333,filled
0.333333,33.047826,1,,0.333333,filled
0.333333,43.473913,1,,0.333333,filled
0.333333,54.282609,1,,0.333333,filled
0.350000,7.700000,1,,0.350000,filled
0.350000,32.569565,1,,0.350000,filled
0.350000,42.900000,1,,0.350000,filled
0.350000,54.378261,1,,0.350000,filled
0.366667,7.460870,1,,0.366667,filled
0.366667,31.900000,1,,0.366667,filled
0.366667,42.230435,1,,0.366667,filled
0.366667,54.330435,1,,0.366667,filled
0.383333,6.934783,1,,0.383333,filled
0.383333,30.560870,1,,0.383333,filled
0.383333,32.760870,1,,0.383333,filled
0.383333,41.656522,1,,0.383333,filled
0.383333,54.378261,1,,0.383333,filled
0.400000,6.647826,1,,0.400000,filled
0.400000,29.795652,1,,0.400000,filled
0.400000,32.091304,1,,0.400000,filled
0.400000,41.273913,1,,0.400000,filled
0.400000,52.369565,1,,0.400000,filled
0.416667,6.360870,1,,0.416667,filled
0.416667,27.786957,1,,0.416667,filled
0.416667,29.700000,1,,0.416667,filled
0.416667,31.421739,1,,0.416667,filled
0.416667,40.460870,1,,0.416667,filled
0.416667,54.378261,1,,0.416667,filled
0.433333,5.786957,1,,0.433333,filled
0.433333,26.734783,1,,0.433333,filled
0.433333,29.317391,1,,0.433333,filled
0.433333,39.456522,1,,0.433333,filled
0.433333,54.282609,1,,0.433333,filled
0.450000,5.500000,1,,0.450000,filled
0.450000,25.586957,1,,0.450000,filled
0.450000,27.786957,1,,0.450000,filled
0.450000,29.700000,1,,0.450000,filled
0.450000,38.978261,1,,0.450000,filled
0.450000,54.378261,1,,0.450000,filled
0.466667,5.213043,1,,0.466667,filled
0.466667,24.486957,1,,0.466667,filled
0.466667,26.973913,1,,0.466667,filled
0.466667,28.886957,1,,0.466667,filled
0.466667,37.543478,1,,0.466667,filled
0.466667,38.930435,1,,0.466667,filled
0.466667,54.282609,1,,0.466667,filled
0.483333,4.734783,1,,0.483333,filled
0.483333,23.482609,1,,0.483333,filled
0.483333,26.017391,1,,0.483333,filled
0.483333,28.121739,1,,0.483333,filled
0.483333,36.730435,1,,0.483333,filled
0.483333,38.356522,1,,0.483333,filled
0.483333,53.852174,1,,0.483333,filled
0.500000,4.447826,1,,0.500000,filled
0.500000,22.621739,1,,0.500000,filled
0.500000,25.013043,1,,0.500000,filled
0.500000,27.308696,1,,0.500000,filled
0.500000,36.204348,1,,0.500000,filled
0.500000,37.734783,1,,0.500000,filled
0.500000,54.282609,1,,0.500000,filled
0.516667,4.256522,1,,0.516667,filled
0.516667,21.473913,1,,0.516667,filled
0.516667,23.865217,1,,0.516667,filled
0.516667,26.400000,1,,0.516667,filled
0.516667,35.391304,1,,0.516667,filled
0.516667,37.113043,1,,0.516667,filled
0.516667,53.947826,1,,0.516667,filled
0.533333,4.065217,1,,0.533333,filled
0.533333,20.517391,1,,0.533333,filled
0.533333,22.286957,1,,0.533333,filled
0.533333,23.578261,1,,0.533333,filled
0.533333,25.300000,1,,0.533333,filled
0.533333,34.673913,1,,0.533333,filled
0.533333,36.395652,1,,0.533333,filled
