# THESIS Fig 4(b) = article Fig 2(b): SU(3) B=1, 2K=13
# digitized from K. Hornbostel, SLAC-333 (1988), PDF page 64 at 600 dpi
# see the companion .json for full calibration provenance
x,y,filled,k,x_raw
0.016667,1.278539,1,,0.016667
0.016667,8.070776,1,,0.016667
0.016667,20.376712,1,,0.016667
0.016667,22.534247,1,,0.016667
0.016667,26.449772,1,,0.016667
0.016667,32.363014,1,,0.016667
0.016667,38.595890,1,,0.016667
0.016667,42.111872,1,,0.016667
0.016667,44.828767,1,,0.016667
0.016667,51.221461,1,,0.016667
0.016667,57.454338,1,,0.016667
0.016667,63.687215,1,,0.016667
0.016667,69.041096,1,,0.016667
0.033333,1.118721,1,,0.033333
0.033333,7.831050,1,,0.033333
0.033333,20.136986,1,,0.033333
0.033333,22.374429,1,,0.033333
0.033333,38.515982,1,,0.033333
0.033333,41.792237,1,,0.033333
0.033333,69.041096,1,,0.033333
0.050000,1.118721,1,,0.050000
0.050000,7.910959,1,,0.050000
0.050000,20.057078,1,,0.050000
0.050000,22.454338,1,,0.050000
0.050000,41.952055,1,,0.050000
0.050000,69.041096,1,,0.050000
0.066667,1.118721,1,,0.066667
0.066667,7.910959,1,,0.066667
0.066667,20.057078,1,,0.066667
0.066667,22.454338,1,,0.066667
0.066667,42.111872,1,,0.066667
0.066667,69.041096,1,,0.066667
0.083333,1.118721,1,,0.083333
0.083333,8.710046,1,,0.083333
0.083333,20.376712,1,,0.083333
0.083333,22.773973,1,,0.083333
0.083333,42.111872,1,,0.083333
0.083333,69.041096,1,,0.083333
0.100000,1.118721,1,,0.100000
0.100000,7.910959,1,,0.100000
0.100000,20.536530,1,,0.100000
0.100000,22.773973,1,,0.100000
0.100000,42.111872,1,,0.100000
0.100000,69.041096,1,,0.100000
0.116667,1.118721,1,,0.116667
0.116667,8.230594,1,,0.116667
0.116667,20.696347,1,,0.116667
0.116667,22.933790,1,,0.116667
0.116667,42.111872,1,,0.116667
0.116667,69.041096,1,,0.116667
0.133333,1.278539,1,,0.133333
0.133333,8.230594,1,,0.133333
0.133333,20.696347,1,,0.133333
0.133333,23.253425,1,,0.133333
0.133333,42.191781,1,,0.133333
0.133333,69.041096,1,,0.133333
0.150000,1.438356,1,,0.150000
0.150000,8.630137,1,,0.150000
0.150000,21.175799,1,,0.150000
0.150000,23.573059,1,,0.150000
0.150000,42.431507,1,,0.150000
0.150000,69.200913,1,,0.150000
0.166667,1.278539,1,,0.166667
0.166667,8.550228,1,,0.166667
0.166667,21.015982,1,,0.166667
0.166667,23.573059,1,,0.166667
0.166667,42.271689,1,,0.166667
0.166667,69.041096,1,,0.166667
0.183333,1.278539,1,,0.183333
0.183333,8.230594,1,,0.183333
0.183333,21.175799,1,,0.183333
0.183333,24.052511,1,,0.183333
0.183333,42.271689,1,,0.183333
0.183333,68.801370,1,,0.183333
0.200000,1.278539,1,,0.200000
0.200000,11.506849,1,,0.200000
0.200000,21.335616,1,,0.200000
0.200000,24.372146,1,,0.200000
0.200000,42.271689,1,,0.200000
0.200000,69.041096,1,,0.200000
0.216667,1.278539,1,,0.216667
0.216667,8.230594,1,,0.216667
