# THESIS Fig 12(a) = article Fig 6(a): the FIVE-QUARK (dashed) curve of
# the lightest N=3 baryon, m/g=1.6, 2K=21.  q(x) x 10^3 as plotted.
#
# Extracted column by column rather than from markers: the curve is drawn
# dashed, and at scan resolution its dashes are the same size as the
# markers, which is what made earlier marker-based traces of this panel
# unreliable.  At each column the ink run closest to our valence curve is
# removed -- our valence reproduces the published one to 1.4% -- and what
# is left is the dashed curve.  Frame x 1377-2720, y 524-1577 on page 82;
# y axis 0.0-15.0 (seven major ticks at fractions 0.002 0.165 0.336 0.500
# 0.669 0.832 0.998).
#
# See docs/baryon-higher-fock.md: this curve is NOT what qcdf.f produces.
x,q_x1e3
0.04617,8.526
0.06701,10.178
0.07223,10.306
0.07744,0.306
0.08265,10.705
0.08786,10.705
0.09308,10.698
0.09829,10.691
0.10350,0.791
0.10871,10.235
0.11392,10.078
0.11914,9.601
0.12435,9.459
0.13999,8.027
0.14520,7.963
0.15562,6.553
0.16083,6.432
0.16605,5.783
0.17126,5.691
0.17647,5.014
0.18168,4.850
0.18690,4.295
0.19211,3.625
0.19732,3.533
0.20253,2.870
0.20774,2.742
0.21296,2.187
0.21817,2.030
0.22338,1.560
0.23380,1.061
0.23902,0.969
0.24944,9.110
0.25465,0.434
0.25987,0.392
0.26508,0.313
0.27029,0.321
0.27550,10.406
0.28071,10.591
0.28593,10.833
0.29114,0.499
0.29635,0.591
0.30156,0.691
0.31199,1.104
0.31720,1.218
0.32762,1.709
0.33284,1.802
0.34326,2.507
0.34847,2.621
0.35890,3.155
0.36411,3.298
0.36932,10.591
0.37453,3.875
0.37975,3.960
0.38496,9.850
0.39017,4.516
0.40060,4.729
0.40581,8.597
0.41102,8.269
0.42666,5.043
0.43187,5.036
0.43708,4.865
0.44229,6.246
0.44751,5.962
0.45272,4.309
0.46314,5.036
0.46835,3.575
0.47878,2.863
0.48399,3.939
0.48920,2.187
0.49963,1.546
0.50484,1.425
0.51005,0.869
0.51526,0.662
0.52048,0.556
0.52569,0.477
0.53090,1.859
0.53611,1.674
0.54133,1.517
0.54654,1.375
0.55175,1.254
0.55696,1.132
0.56217,1.047
0.56739,0.933
0.57260,0.833
0.57781,0.762
0.58302,0.691
0.58824,0.591
0.59345,0.214
0.59866,0.392
